製作,田中友幸,Producer,Tanaka Tomoyuki
製作補,根津博,Assistant Producer,Nezu Hiroshi
,,,
脚本,馬淵薫,Screenplay,Mabuchi Kaoru
,太宰治『走れメロス』より,,"From Dazai Osamu’s “Run, Melos!”"
,,,
撮影,山田一夫,Photography,Yamada Kazuo
美術,植田寛,Art,Ueda Hiroshi
録音,西川善男,Recording,Nishikawa Yoshio
照明,森弘充,Lighting,Mori Hiromitsu
音楽,伊福部昭,Music,Ifukube Akira
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,竹林進,Assistant Director,Takebayashi Susumu
編集,黒岩義民,Editing,Kuroiwa Yoshitami
合成,三瓶一信,Composition,Sanbe Kazunobu
衣裳デザイン,真木小太郎,Costume Design,Maki Kotarô
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,江口英彦,Production Manager,Eguchi Hidehiko
,,,
出演者,,Performers,
,,,
,三船敏郎,,Mifune Toshirô
,,,
,三橋達也,,Mihashi Tatsuya
,中丸忠雄,,Nakamaru Tadao
,佐藤允,,Satô Makoto
,,,
,浜美枝,,Hama Mie
,若林映子,,Wakabayashi Akiko
,白川由美,,Shirakawa Yumi
,,,
,有島一郎,,Arishima Ichirô
,田崎潤,,Tazaki Jun
,平田昭彦,,Hirata Akihiko
,,,
,黒部進,,Kurobe Susumu
,天本英世,,Amamoto Hideyo
,黒沢年男,,Kurosawa Toshio
,桜井浩子,,Sakurai Hiroko
,大木正司,,Ôki Shôji
,堺左千夫,,Sakai Sachio
,,,
,石田茂樹,,Ishida Shigeki
,春日章良,,Kasuga Shunji
,草川直也,,Kusakawa Naoya
,山本廉,,Yamamoto Ren
,沢村いき雄,,Sawamura Ikio
,高田稔,,Takada Minoru
,,,
,吉田俊彦,,Yoshida Toshihiko
,黒木順,,Kuroki Jun
,長谷川弘,,Hasegawa Hiroshi
,荒木保夫,,Araki Yasuo
,土屋詩朗,,Tsuchiya Shirô
殺陣,久世竜,Swordmaster,Kuze Ryû
,,,
監督,谷口千吉,Director,Taniguchi Senkichi
