製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,,,
撮影,富岡素敬,Photography,Tomioka Mototaka
美術,北猛夫,Art,Kita Takeo
録音,刀根紀雄,Recording,Tone Norio
照明,原文良,Lighting,Hara Fumiyoshi
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
音楽,宮内国郎,Music,Miyauchi Kunio
主題歌,クラウン・レコード,Theme Song,Crown Records
「怪獣マーチ」,,“Monster March”,
作詞,関沢新一,Lyrics,Sekizawa Shin’ichi
作曲,叶弦大,Composition,Kanô Gendai
編曲,小杉仁三,Arrangement,Kosugi Jinzô
歌,佐々木梨里,Vocals,Sasaki Riri
,,,
監督助手,久松正明,Assistant Director,Hisamatsu Masaaki
,中野昭慶,,Nakano Teruyoshi
編集,永見正久,Editing,Nagami Masahisa
合成,向山宏,Composition,Mukôyama Hiroshi
操演,中代文雄,Physical Effects,Nakadai Fumio
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂井靖史,Production Manager,Sakai Yasushi
,,,
出演者,,Performers,
,,,
,矢崎知紀,,Yazaki Tomonori
,天本英世,,Amamoto Hideyo
,佐原健二,,Sahara Kenji
,中真千子,,Naka Machiko
,,,
,堺左千夫,,Sakai Sachio
,鈴木和夫,,Suzuki Kazuo
,沢村いき雄,,Sawamura Ikio
,石田茂樹,,Ishida Shigeki
,佐田豊,,Sada Yutaka
,当銀長太郎,,Tôgin Chôtarô
,中山豊,,Nakayama Yutaka
,田島義文,,Tajima Yoshibumi
,,,
,伊藤潤一,,Itô Jun’ichi
,森徹,,Mori Tôru
,黒川俊哉,,Kurokawa Toshiya
,宮岡裕之,,Miyaoka Hiroyuki
,高橋信人,,Takahashi Nobuhito
,伊東ひでみ,,Itô Hidemi
,小人のマーチャン,,Little Man Mâchan
,覚幸泰彦,,Kakuyuki Yasuhiko
,中島春雄,,Nakajima Haruo
ミニラの声,内山みどり,Voice of Minilla,Uchiyama Midori
,,,
特技監修,円谷英二,Special Effects Supervisor,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
