製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,押川春浪 『海底軍艦』より,,From Oshikawa Shunrô’s “Undersea Warship”
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,北猛夫,Art,Kita Takeo
録音,上原正直,Recording,Uehara Masanao
照明,小島正七,Lighting,Kojima Shôshichi
音楽,伊福部昭,Music,Ifukube Akira
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,梶田興治,Assistant Director,Kajita Kôji
編集,藤井良平,Editing,Fujii Ryôhei
音響効果,金山実,Sound Effects,Kanayama Minoru
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,中村茂,Production Manager,Nakamura Shigeru
,,,
特殊技術,,Special Technology,
撮影,有川貞昌,Photography,Arikawa Sadamasa
,富岡素敬,,Tomioka Mototaka
光学撮影,真野田幸雄,Optical Photography,Manoda Yukio
,徳政義行,,Tokumasa Yoshiyuki
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirô
合成,向山宏,Composition,Mukôyama Hiroshi
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
製作担当者,小池忠司,Production Manager,Koike Tadashi
,,,
出演者,,Performers,
,,,
,高島忠夫,,Takashima Tadao
,藤山陽子,,Fujiyama Yôko
,,,
,藤木悠,,Fujiki Yû
,佐原健二,,Sahara Kenji
,上原謙,,Uehara Ken
,小泉博,,Koizumi Hiroshi
,,,
,田崎潤,,Tazaki Jun
,田島義文,,Tajima Yoshibumi
,平田昭彦,,Hirata Akihiko
,天本英世,,Amamoto Hideyo
,,,
,藤田進,,Fujita Susumu
,高田稔,,Takada Minoru
,伊藤久哉,,Itô Hisaya
,沢村いき雄,,Sawamura Ikio
,小林哲子,,Kobayashi Tetsuko
,北あけみ,,Kita Akemi
,,,
,長谷川弘,,Hasegawa Hiroshi
,桐野洋雄,,Kirino Nadao
,大友伸,,Ôtomo Shin
,坂本晴哉,,Sakamoto Haruya
,中村哲,,Nakamura Tetsu
,中山豊,,Nakayama Yutaka
,津田光男,,Tsuda Mitsuo
,宇野晃司,,Uno Kôji
,,,
,雨宮貞子,,Amamiya Sadako
,緒方燐作,,Ogata Rinsaku
,大塚秀男,,Ôtsuka Hideo
,岡豊,,Oka Yutaka
,権藤幸彦,,Gondô Yukihiko
,広瀬正一,,Hirose Shôichi
,手塚勝巳,,Tezuka Katsumi
,熊谷二良,,Kumagai Jirô
,小川安三,,Ogawa Yasuzô
,土屋詩朗,,Tsuchiya Shirô
,,,
,大前亘,,Ômae Wataru
,三浦敏男,,Miura Toshio
,河辺昌義,,Kawabe Masayoshi
,安芸津広,,Akitsu Hiroshi
,澁谷英男,,Shibuya Hideo
,山田圭介,,Yamada Keisuke
,広田新二郎,,Hirota Shinjirô
,山路恵介,,Yamaji Keisuke
,鹿島邦義,,Kashima Kuniyoshi
,東宝芸能学校,,Toho Performing Arts School
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
