製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,丘美丈二郎,Original Work,Okami Jôjirô
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,安倍輝明,Art,Abe Teruaki
照明,石川緑郎,Lighting,Ishikawa Rokurô
録音,三上長七郎,Recording,Mikami Chôshichirô
,宮崎正信,,Miyazaki Masanobu
音楽,伊福部昭,Music,Ifukube Akira
,,,
監督助手,梶田興治,Assistant Director,Kajita Kôji
編集,平一二,Editing,Taira Kazuji
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,坂本泰明,Production Manager,Sakamoto Yasuaki
,,,
特殊技術,,Special Technology,
光学撮影,荒木秀三郎,Optical Photography,Araki Hidesaburô
撮影,有川貞昌,Photography,Arikawa Sadamasa
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirô
作画合成,向山宏,Drawing Composition,Mukôyama Hiroshi
,,,
出演者,,Performers,
,,,
,池部良,,Ikebe Ryô
,,,
,安西郷子,,Anzai Kyôko
,高田稔,,Takada Minoru
,千田是也,,Senda Koreya
,,,
,レン・スタンフォード,,Len Stanford
,ハロルド・コンウェイ,,Harold Conway
,ジョージ・ウイマン,,George Whyman
,エリス・リクター,,Elise Richter
,,,
,伊藤久哉,,Itô Hisaya
,土屋嘉男,,Tsuchiya Yoshio
,桐野洋雄,,Kirino Nadao
,野村浩三,,Nomura Kôzô
,村上冬樹,,Murakami Fuyuki
,,,
,沢村いき雄,,Sawamura Ikio
,熊谷二良,,Kumagai Jirô
,手塚勝己,,Tezuka Katsumi
,津田光男,,Tsuda Mitsuo
,岡部正,,Okabe Tadashi
,オスマン・ユセフ,,Osman Yusuf
,マルコン・ピアーズ,,Malcolm Pearce
,レオナルド・ウェルチ,,Leonard Walch
,ハインズ・ボトメル,,Heinz Bodmer
,ドナ・カールソン,,Dona Carlson
,,,
,堤康久,,Tsutsumi Yasuhisa
,旗持貴佐夫,,Hatamochi Kisao
,佐藤功一,,Satô Kôichi
,荒木保夫,,Araki Yasuo
,緒方燐作,,Ogata Rinsaku
,山田圭介,,Yamada Keisuke
,上村幸之,,Uemura Yoshiyuki
,岡豊,,Oka Yutaka
,加藤茂雄,,Katô Shigeo
,門脇三郎,,Kadowaki Saburô
,権藤幸彦,,Gondô Yukihiko
,広田新二郎,,Hirota Shinjirô
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
