製作,永田雅一,Producer,Nagata Masaichi
,,,
企画,奥田久司,Planning,Okuda Hisashi
脚本,吉田哲郎,Screenplay,Yoshida Tetsurô
,,,
撮影,森田富士郎,Photography,Morita Fujio
録音,林土太郎,Recording,Hayashi Tsuchitarô
照明,美間博,Lighting,Mima Hiroshi
美術,内藤昭,Art,Naitô Akira
音楽,伊福部昭,Music,Ifukube Akira
,,,
編集,山田弘,Editing,Yamada Hiroshi
特撮合成,田中貞造,Special Effects Composition,Tanaka Teizô
擬斗,楠本栄一,Action,Kusumoto Eiichi
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
助監督,西沢鋭治,Assistant Director,Nishizawa Eiji
製作主任,田辺満,Production Manager,Tanabe Mitsuru
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,高田美和,,Takada Miwa
,青山良彦,,Aoyama Yoshihiko
,藤巻潤,,Fujimaki Jun
,,,
,五味龍太郎,,Gomi Ryûtarô
,島田竜三,,Shimada Ryûzô
,遠藤辰雄,,Endô Tatsuo
,杉山昌三九,,Sugiyama Shôsaku
,橋本力,,Hashimoto Riki
,伊達三郎,,Date Saburô
,,,
,月宮於登女,,Tsukimiya Otome
,香山恵子,,Kayama Keiko
,尾上栄五郎,,Onoe Eigorô
,木村玄,,Kimura Gen
,二宮秀樹,,Ninomiya Hideki
,出口静宏,,Deguchi Shizuhiro
,伴勇太郎,,Ban Yûtarô
,,,
,黒木英男,,Kuroki Hideo
,志賀明,,Shiga Akira
,大杉潤,,Ôsugi Jun
,勝村淳,,Katsumura Jun
,森内一夫,,Moriuchi Kazuo
,雨宮旭,,Amemiya Akira
,暁勝二郎,,Akatsuki Katsujirô
,上原寛二,,Uehara Kanji
,森下昌子,,Morishita Masako
,吉川初美,,Yoshikawa Hatsumi
,,,
監督,安田公義,Director,Yasuda Kimiyoshi
特撮監督,黒田義之,Special Effects Director,Kuroda Yoshiyuki
