製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,村上元三,Original Work,Murakami Genzô
,「週刊朝日」連載 光文社・版,,Serialized in “Weekly Asahi” Kobunsha Edition
脚本,木村武,Screenplay,Kimura Takeshi
,稲垣浩,,Inagaki Hiroshi
,,,
撮影,山田一夫,Photography,Yamada Kazuo
美術,植田寛,Art,Ueda Hiroshi
録音,西川善男,Recording,Nishikawa Yoshio
,宮崎正信,,Miyazaki Masanobu
照明,小島正七,Lighting,Kojima Shôshichi
音楽,伊福部昭,Music,Ifukube Akira
,,,
監督助手,高瀬昌弘,Assistant Director,Takase Masahiro
編集,岩下廣一,Editing,Iwashita Kôichi
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,川上勝太郎,Production Manager,Kawakami Katsutarô
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
光学撮影,荒木秀三郎,Optical Photography,Araki Hidesaburô
撮影,有川貞昌,Photography,Arikawa Sadamasa
照明,岸田九一郎,Lighting,Kishida Kuichirô
特殊美術,渡辺明,Special Art,Watanabe Akira
合成撮影,向山宏,Composite Photography,Mukôyama Hiroshi
,,,
出演者,,Performers,
,,,
,三船敏郎,,Mifune Toshirô
,,,
,香川京子,,Kagawa Kyôko
,星由里子,,Hoshi Yuriko
,久我美子,,Kuga Yoshiko
,山田五十鈴,,Yamada Isuzu
,,,
,夏木陽介,,Natsuki Yôsuke
,平田昭彦,,Hirata Akihiko
,志村喬,,Shimura Takashi
,市川團子,,Ichikawa Danko
,,,
,田崎潤,,Tazaki Jun
,丹波哲郎,,Tamba Tetsurô
,中丸忠雄,,Nakamaru Tadao
,香川良介,,Kagawa Ryôsuke
,藤木悠,,Fujiki Yû
,河津清三郎,,Kawazu Seizaburô
,,,
,藤田進,,Fujita Susumu
,岩井半四郎,,Iwai Hanshirô
,堺左千夫,,Sakai Sachio
,小杉義男,,Kosugi Yoshio
,上田吉二郎,,Ueda Kichijirô
,中北千枝子,,Nakakita Chieko
,東郷晴子,,Tôgô Haruko
,,,
,山本廉,,Yamamoto Ren
,大友伸,,Ôtomo Shin
,石田茂樹,,Ishida Shigeki
,長島武夫,,Nagashima Takeo
,天本英世,,Amamoto Hideyo
,櫻井巨郎,,Sakurai Girô
,大村千吉,,Ômura Senkichi
,谷晃,,Tani Akira
,沢村いき雄,,Sawamura Ikio
,,,
,堤康久,,Tsutsumi Yasuhisa
,津田光男,,Tsuda Mitsuo
,熊谷二良,,Kumagai Jirô
,岡部正,,Okabe Tadashi
,宇野晃司,,Uno Kôji
,手塚勝巳,,Tezuka Katsumi
,土屋詩朗,,Tsuchiya Shirô
,岩本弘司,,Iwamoto Kôji
,生方壮児,,Ubukata Sôji
,西條悦郎,,Saijô Etsurô
,,,
,山田彰,,Yamada Akira
,三浦敏男,,Miura Toshio
,緒方燐作,,Ogata Rinsaku
,中島春雄,,Nakajima Haruo
,細川隆一,,Hosokawa Ryûichi
,関田裕,,Sekita Hiroshi
,伊原徳,,Ihara Toku
,安芸津広,,Akitsu Hiroshi
,佐藤功一,,Satô Kôichi
,千葉一郎,,Chiba Ichirô
,坪野鎌之,,Tsubono Kamayuki
,向井淳一郎,,Mukai Jun’ichirô
,,,
,澁谷英男,,Shibuya Hideo
,三井一也,,Mitsui Kazuya
,黒木順,,Kuroki Jun
,ハンス・ホルネフ,,Hans Hornef
,ビル・バッスム,,Bill Bassum
,ユセフ・オスマン,,Yusef Osman
,ベリー・ハリウラ,,Barry Hariura
,黒岩小枝子,,Kuroiwa Saeko
,中野トシ子,,Nakano Toshiko
,小沢経子,,Ozawa Keiko
殺陣,久世竜,Swordmaster,Kuze Ryû
,,,
監督,稲垣浩,Director,Inagaki Hiroshi
