製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,,,
撮影,山田一夫,Photography,Yamada Kazuo
美術,北猛夫,Art,Kita Takeo
録音,吉沢昭一,Recording,Yoshizawa Shôichi
照明,隠田紀一,Lighting,Onda Kiichi
音楽,佐藤勝,Music,Satô Masaru
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,佐野健,Assistant Director,Sano Ken
編集,藤井良平,Editing,Fujii Ryôhei
音響効果,金山実,Sound Effects,Kanayama Minoru
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,橋本利明,Production Manager,Hashimoto Toshiaki
,,,
特殊技術,,Special Technology,
監督補,有川貞昌,Assistant Director,Arikawa Sadamasa
撮影,富岡素敬,Photography,Tomioka Mototaka
,真野田陽一,,Manoda Yôichi
光学撮影,徳政義行,Optical Photography,Tokumasa Yoshiyuki
美術,井上泰幸,Art,Inoue Yasuyuki
照明,岸田九一郎,Lighting,Kishida Kuichirô
操演,中代文雄,Physical Effects,Nakadai Fumio
合成,向山宏,Composition,Mukôyama Hiroshi
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
製作担当者,坂本泰明,Production Manager,Sakamoto Yasuaki
,,,
出演者,,Performers,
,,,
,宝田明,,Takarada Akira
,水野久美,,Mizuno Kumi
,,,
,平田昭彦,,Hirata Akihiko
,田崎潤,,Tazaki Jun
,砂塚秀夫,,Sunazuka Hideo
,当銀長太郎,,Tôgin Chôtarô
,,,
,伊吹徹,,Ibuki Tôru
,渡辺徹,,Watanabe Tôru
,天本英世,,Amamoto Hideyo
,沢村いき雄,,Sawamura Ikio
,伊藤久哉,,Itô Hisaya
,,,
,石田茂樹,,Ishida Shigeki
,広瀬正一,,Hirose Shôichi
,鈴木和夫,,Suzuki Kazuo
,佐田豊,,Sada Yutaka
,本間文子,,Honma Noriko
,中北千枝子,,Nakakita Chieko
,,,
,池田生二,,Ikeda Seiji
,岡部正,,Okabe Tadashi
,大前亘,,Ômae Wataru
,丸山謙一郎,,Maruyama Ken’ichirô
,緒方燐作,,Ogata Rinsaku
,勝部義夫,,Katsube Yoshio
,澁谷英男,,Shibuya Hideo
,,,
,中島春雄,,Nakajima Haruo
,関田裕,,Sekita Hiroshi
,ペア・バンビ,,Pair Bambi
,スタジオNo.1ダンサーズ,,Studio No. 1 Dancers
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,福田純,Director,Fukuda Jun
