製作,田中友幸,Producer,Tanaka Tomoyuki
,田中文雄,,Tanaka Fumio
,,,
原作,小松左京,Original Work,Komatsu Sakyô
,早川書房刊「エスパイ」,,“Espy” published by Hayakawa Shobo
,,,
脚本,小川英,Screenplay,Ogawa Ei
,,,
撮影,上田正治,Photography,Ueda Masaharu
,原一民,,Hara Kazutami
美術,村木忍,Art,Muraki Shinobu
録音,伴利也,Recording,Ban Toshiya
照明,森本正邦,Lighting,Morimoto Masakuni
スチール,中尾孝,Still Photography,Nakao Takashi
,,,
音楽,平尾昌晃,Music,Hirao Masaaki
,京建輔,,Kyô Kensuke
主題歌,フィリップスレコード,Theme Song,Phillips Records
唄,尾崎紀世彦,Vocals,Ozaki Kiyohiko
『愛こそすべて』,,“All We Need Is Love”,
作詞,山口洋子,Lyrics,Yamaguchi Yôko
作曲,平尾昌晃,Composition,Hirao Masaaki
編曲,京建輔,Arrangement,Kyô Kensuke
,,,
監督助手,西川常三郎,Assistant Director,Nishikawa Tsunesaburô
編集,池田美千子,Editing,Ikeda Michiko
効果,東宝効果集団,Effects,Toho Effects Group
整音,東宝録音センター,Dubbing,Toho Recording Center
製作担当者,篠田啓助,Production Manager,Shinoda Keisuke
,,,
特殊技術,,Special Technology,
撮影,富岡素敬,Photography,Tomioka Mototaka
照明,大口良雄,Lighting,Ôguchi Yoshio
合成,三瓶一信,Composition,Sanbe Kazunobu
作画,塚田猛昭,Drawing,Tsukada Takeaki
光学撮影,宮西武史,Optical Photography,Miyanishi Takeshi
操演,小川昭二,Physical Effects,Ogawa Shôji
特殊効果,渡辺忠昭,Special Effects,Watanabe Tadaaki
監督助手,田渕吉男,Assistant Director,Tabuchi Yoshio
,,,
衣装協力,ロンシャン株式会社,Costume Cooperation,"Longchamp Co., Ltd."
由実かおる衣装デザイン,志村雅久 (そごう),Yumi Kaoru Costume Design,Shimura Masahisa (Sogô)
スーツ提供,そごう,Suit Furnishing,Sogô
,アンジェロ,,Angelo
,リノーリコ紳士服,,Linorico Men’s Clothing
毛皮,パリオン (真田商事),Fur,Parion (Sanada Corporation)
アクセサリー,東京工芸 (株),Accessories,"Tokyo Crafts Co., Ltd."
,,,
出演者,,Performers,
,,,
,藤岡弘,,Fujioka Hiroshi
,,,
,由美かおる,,Yumi Kaoru
,,,
,草刈正雄,,Kusakari Masao
,,,
,岡田英次,,Okada Eiji
,睦五郎,,Mutsumi Gorô
,,,
,内田勝正,,Uchida Katsumasa
,高村ルナ,,Takamura Luna
,山谷初男,,Yamaya Hatsuo
,ジミー・ショウ,,Jimmy Shaw
,,,
,アンドリュー・ヒューズ,,Andrew Hughes
,スティーブ・グリーン,,Steve Green
,ウィリー・ドーシー,,Willy Dorsey
,ロルフ・イエッサー,,Ralph Jesser
,フランツ・グルーバー,,Franz Gruber
,,,
,伊東光一,,Itô Kôichi
,勝部義夫,,Katsube Yoshio
,細井利雄,,Hosoi Toshio
,守田比呂也,,Morita Hiroya
技斗,渡辺高光,Skill,Watanabe Takamitsu
,高橋一俊,,Takahashi Kazutoshi
,ジャパン・アクションクラブ,,Japan Action Club
,大野剣友会,,Ôno Ken’yûkai
,,,
,加山雄三,,Kayama Yûzô
,,,
,若山富三郎（特別出演）,,Wakayama Tomisaburô (Special Appearance)
,,,
特技監督,中野昭慶,Special Effects Director,Nakano Teruyoshi
協力監督,大森健次郎,Cooperation Director,Ômori Kenjirô
,,,
監督,福田純,Director,Fukuda Jun
