製作,田中文雄,Producer,Tanaka Fumio
,,,
脚本,小川英,Screenplay,Ogawa Ei
,武末勝,,Takesue Masaru
,,,
撮影,原一民,Photography,Hara Kazutami
美術,薩谷和夫,Art,Satsuya Kazuo
録音,矢野口文雄,Recording,Yanoguchi Fumio
照明,森本正邦,Lighting,Morimoto Masakuni
,,,
音楽,真鍋理一郎,Music,Manabe Riichirô
編集,池田美千子,Editing,Ikeda Michiko
合成,三瓶一信,Composition,Sanbe Kazunobu
スチール,石月美徳,Still Photography,Ishizuki Yoshinori
,,,
監督助手,小栗康平,Assistant Director,Oguri Kôhei
整音,東宝録音センター,Dubbing,Toho Recording Center
効果,東宝効果集団,Effects,Toho Effects Group
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,広川恭,Production Manager,Hirokawa Yasushi
,,,
出演者,,Performers,
,,,
,黒沢年男,,Kurosawa Toshio
,,,
,田中邦衛,,Tanaka Kunie
,佐々木勝彦,,Sasaki Katsuhiko
,岸田森,,Kishida Shin
,,,
,望月真理子,,Mochizuki Mariko
,太田美緒,,Ôta Mio
,桂木美加,,Katsuragi Mika
,荒牧啓子,,Aramaki Keiko
,,,
,麻里とも恵,,Mari Tomoe
,片山滉,,Katayama Akira
,鈴木治夫,,Suzuki Haruo
,二見忠男,,Futami Tadao
,小栗一也,,Oguri Kazuya
,,,
,細井利雄,,Hosoi Toshio
,吉田静司,,Yoshida Seiji
,竹井みどり,,Takei Midori
,保坂六巴,,Hosaka Rokuba
,吉田真理子,,Yoshida Mariko
,"ロジャー・ブリーン
",,Roger Breen
擬斗,宇仁貫三,Action,Uni Kanzô
,,,
,伊藤雄之助,,Itô Yûnosuke
,,,
監督,山本迪夫,Director,Yamamoto Michio
