企画,高森富夫,Planning,Takamori Tomio
,財前定生,,Zaizen Sadao
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,星川清司,Screenplay,Hoshikawa Seiji
,吉田哲郎,,Yoshida Tetsurô
,松村正温,,Matsumura Masaatsu
,,,
撮影,牧浦地志,Photography,Makiura Chikashi
録音,大谷巌,Recording,Ôtani Iwao
照明,山下礼二郎,Lighting,Yamashita Reijirô
美術,内藤昭,Art,Naitô Akira
音楽,伊福部昭,Music,Ifukube Akira
,,,
編集,菅沼完二,Editing,Suganuma Kanji
装置,伊藤万次郎,Apparatus,Itô Manjirô
擬斗,宮内昌平,Action,Miyauchi Shôhei
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
助監督,友枝稔議,Assistant Director,Tomoeda Minoru
製作主任,今村喬,Production Manager,Imamura Takashi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,高千穂ひづる,,Takachiho Hizuru
,金子信雄,,Kaneko Nobuo
,加藤嘉,,Katô Yoshi
,石黒達也,,Ishiguro Tatsuya
,,,
,北城寿太郎,,Hôjô Jutarô
,藤山浩二,,Fujiyama Kôji
,天王寺虎之助,,Ten’nôji Toranosuke
,毛利郁子,,Môri Ikuko
,川口のぶ,,Kawaguchi Nobu
,近江輝子,,Ômi Teruko
,,,
,伊達三郎,,Date Saburô
,南條新太郎,,Nanjô Shintarô
,浅尾奥山,,Asao Okuyama
,南部彰三,,Nanbu Shôzô
,橋本力,,Hashimoto Riki
,石原須磨男,,Ishihara Sumao
,木村玄,,Kimura Gen
,杉山昌三九,,Sugiyama Shôsaku
,,,
,玉置一恵,,Tamaki Kazue
,沖時男,,Oki Tokio
,堀北幸夫,,Horikita Yukio
,越川一,,Koshikawa Ichi
,山岡鋭二郎,,Yamaoka Eijirô
,千石泰三,,Sengoku Taizô
,愛原光一,,Aihara Kôichi
,黒木英男,,Kuroki Hideo
,原田清子,,Harada Kiyoko
,藤川準,,Fujikawa Jun
,,,
監督,三隅研次,Director,Misumi Kenji
