製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,馬淵薫,Screenplay,Mabuchi Kaoru
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,北猛夫,Art,Kita Takeo
録音,小沼渡,Recording,Onuma Wataru
照明,小島正七,Lighting,Kojima Shôshichi
音楽,伊福部昭,Music,Ifukube Akira
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,梶田興治,Assistant Director,Kajita Kôji
編集,藤井良平,Editing,Fujii Ryôhei
音響効果,西本定正,Sound Effects,Nishimoto Sadamasa
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,山田順彦,Production Manager,Yamada Yorihiko
,,,
特殊技術,,Special Technology,
撮影,有川貞昌,Photography,Arikawa Sadamasa
,富岡素敬,,Tomioka Mototaka
光学撮影,真野田幸雄,Optical Photography,Manoda Yukio
,徳政義行,,Tokumasa Yoshiyuki
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirô
合成,向山宏,Composition,Mukôyama Hiroshi
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
製作担当者,小池忠司,Production Manager,Koike Tadashi
,,,
出演者,,Performers,
,,,
,高島忠夫,,Takashima Tadao
,ニック・アダムス,,Nick Adams
,,,
,水野久美,,Mizuno Kumi
,土屋嘉男,,Tsuchiya Yoshio
,古畑弘二,,Furuhata Kôji
,,,
,田崎潤,,Tazaki Jun
,藤田進,,Fujita Susumu
,志村喬,,Shimura Takashi
,中村伸郎,,Nakamura Nobuo
,,,
,佐原健二,,Sahara Kenji
,伊藤久哉,,Itô Hisaya
,田島義文,,Tajima Yoshibumi
,野村明司,,Nomura Akiji
,加藤春哉,,Katô Haruya
,沢村いき雄,,Sawamura Ikio
,小杉義男,,Kosugi Yoshio
,,,
,井上紀明,,Inoue Noriaki
,沢井桂子,,Sawai Keiko
,高橋紀子,,Takahashi Noriko
,ピーター・マン,,Peter Mann
,山本廉,,Yamamoto Ren
,佐田豊,,Sada Yutaka
,田武謙三,,Tabu Kenzô
,石田茂樹,,Ishida Shigeki
,中島春雄,,Nakajima Haruo
,,,
,中山豊,,Nakayama Yutaka
,大村千吉,,Ômura Senkichi
,桐野洋雄,,Kirino Nadao
,西条康彦,,Saijô Yasuhiko
,大友伸,,Ôtomo Shin
,広瀬正一,,Hirose Shôichi
,向井淳一郎,,Mukai Jun’ichirô
,古田俊彦,,Furuta Toshihiko
,津田光男,,Tsuda Mitsuo
,木村博人,,Kimura Hiroto
,,,
,澁谷英男,,Shibuya Hideo
,宮田芳子,,Miyata Yoshiko
,橘正晃,,Tachibana Masaaki
,岡部正,,Okabe Tadashi
,緒方燐作,,Ogata Rinsaku
,中尾純夫,,Nakao Sumio
,熊倉一雄,,Kumakura Kazuo
,納谷悟朗,,Naya Gorô
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
