製作,永田雅一,Producer,Nagata Masaichi
,,,
企画,斉藤米二郎,Planning,Saitô Yonejirô
脚本,高橋二三,Screenplay,Takahashi Nisan
,,,
撮影,高橋通夫,Photography,Takahashi Michio
録音,奥村幸雄,Recording,Okumura Yukio
照明,柴田恒吉,Lighting,Shibata Tsunekichi
美術,柴田篤二,Art,Shibata Tokuji
,,,
音楽,木下忠司,Music,Kinoshita Chûji
編集,中静達治,Editing,Nakashizuka Tatsuji
助監督,瀬川正雄,Assistant Director,Segawa Masao
製作主任,沼田芳造,Production Manager,Numata Yoshizô
現像,東洋現像所,Developing,Toyo Laboratory
,,,
特殊撮影,,Special Photography,
監督,湯浅憲明,Director,Yuasa Noriaki
撮影,藤井和文,Photography,Fujii Kazufumi
美術,山口煕,Art,Yamaguchi Hiroshi
,井上章,,Inoue Akira
,,,
特殊撮影,,Special Photography,
合成,金子友三,Composition,Kaneko Tomozô
照明,石坂守,Lighting,Ishizaka Mamoru
操演,恵利川秀雄,Physical Effects,Erikawa Hideo
助監督,阿部志馬,Assistant Director,Abe Shima
製作主任,川村清,Production Manager,Kawamura Kiyoshi
,,,
監督,田中重雄,Director,Tanaka Shigeo
,,,
出演者,,Performers,
,,,
,本郷功次郎,,Hongô Kôjirô
,江波杏子,,Enami Kyôko
,,,
,早川雄三,,Hayakawa Yûzô
,藤岡琢也,,Fujioka Takuya
,藤山浩二,,Fujiyama Kôji
,夏木章,,Natsuki Shô
,北原義郎,,Kitahara Yoshirô
,菅井一郎,,Sugai Ichirô
,見明凡太朗,,Miake Bontarô
,,,
,北城寿太郎,,Hôjô Jutarô
,若松和子,,Wakamatsu Kazuko
,紺野ユカ,,Kon’no Yuka
,高村栄一,,Takamura Eiichi
,谷謙一,,Tani Ken’ichi
,伊東光一,,Itô Kôichi
,星ひかる,,Hoshi Hikaru
,阿部脩,,Abe Osamu
,小山内淳,,Osanai Jun
,浜口喜博,,Hamaguchi Yoshihiro
,ジョー・オハラ,,Joe Ohara
,中田勉,,Nakata Tsutomu
,森矢雄二,,Moriya Yûji
,川島真二,,Kawashima Shinji
,原田該,,Harada Gai
,森一夫,,Mori Kazuo
,荒木康夫,,Araki Yasuo
,三夏伸,,Minatsu Shin
,後藤武彦,,Gotô Takehiko
,加川東一郎,,Kagawa Tôichirô
,新宮信子,,Shingû Nobuko
,西尋子,,Nishi Hiroko
,光実千代,,Hikari Michiyo
,益田隆舞踏団,,Masuda Takashi Dance Company
