製作,永田秀雅,Producer,Nagata Hidemasa
,,,
企画,仲野和正,Planning,Nakano Kazumasa
脚本,高橋二三,Screenplay,Takahashi Nisan
,,,
撮影,喜多崎晃,Photography,Kitazaki Akira
特殊撮影,藤井和文,Special Photography,Fujii Kazufumi
録音,飛田喜美雄,Recording,Tobita Kimio
照明,上原正一,Lighting,Uehara Shôichi
美術,井上章,Art,Inoue Akira
,,,
音楽,菊池俊輔,Music,Kikuchi Shunsuke
主題歌,「ガメラマーチ」,Theme Song,“Gamera Theme”
歌,大映児童合唱団,Vocals,Daiei Children’s Choir
作詞,永田秀雅,Lyrics,Nagata Hidemasa
作編曲,広瀬健次郎,Composition and Arrangement,Hirose Kenjirô
,大映レコード,,Daiei Records
,,,
美術,矢野友久,Art,Yano Tomohisa
特撮合成,金子友三,Special Effects Composition,Kaneko Tomozô
照明,石森七郎,Lighting,Ishimori Shichirô
操演,金子芳夫,Physical Effects,Kaneko Yoshio
音響効果,小島明,Sound Effects,Kojima Akira
,,,
編集,宮崎善行,Editing,Miyazaki Yoshiyuki
助監督,小林正夫,Assistant Director,Kobayashi Masao
製作主任,川村清,Production Manager,Kawamura Kiyoshi
現像,東京現像所,Developing,Tokyo Laboratory
,,,
出演者,,Performers,
,,,
明夫君,加島信博,Akio-kun,Kashima Nobuhiro
トム君,クリストファ・マーフィー,Tom-kun,Christopher Murphy
友子ちゃん,秋山みゆき,Tomoko-chan,Akiyama Miyuki
,,,
博士,船越英二,Doctor,Funakoshi Eiji
巡査,大村崑,Constable,Ômura Kon
,,,
母,浜田ゆう子,Mother,Hamada Yûko
ママ,イーデス・ハンソン,Mama,Edith Hanson
宇宙人,笠原玲子,Aliens,Kasahara Reiko
,甲斐弘子,,Kai Hiroko
,,,
新聞記者,夏木章,Journalists,Natsuki Shô
,遠藤哲平,,Endô Tetsupei
,中田勉,,Nakata Tsutomu
天文台助手,南堂正樹,Observatory Assistant,Minamidô Masaki
巡査,喜多大八,Constable,Kita Daihachi
,,,
監督,湯浅憲明,Director,Yuasa Noriaki
