製作,永田秀雅,Producer,Nagata Hidemasa
,,,
企画,仲野和正,Planning,Nakano Kazumasa
脚本,高橋二三,Screenplay,Takahashi Nisan
,,,
撮影,上原明,Photography,Uehara Akira
録音,奥村幸雄,Recording,Okumura Yukio
照明,久保江平八,Lighting,Kuboe Heihachi
美術,井上章,Art,Inoue Akira
,,,
音楽,山内正,Music,Yamanouchi Tadashi
主題歌,「ガメラの歌」,Theme Song,“Gamera’s Song”
唄,ひばり児童合唱団,Vocals,Hibari Children’s Choir
作詞,永田秀雅,Lyrics,Nagata Hidemasa
作曲,小町昭,Composition,Komachi Akira
,キングレコード,,King Records
,,,
編集,中静達治,Editing,Nakashizuka Tatsuji
音響効果,小倉信義,Sound Effects,Ogura Nobuyoshi
助監督,小林正夫,Assistant Director,Kobayashi Masao
製作主任,川村清,Production Manager,Kawamura Kiyoshi
現像,東京現像所,Developing,Tokyo Laboratory
,,,
特殊撮影,,Special Photography,
撮影,藤井和文,Photography,Fujii Kazufumi
助監督,阿部志馬,Assistant Director,Abe Shima
美術,矢野友久,Art,Yano Tomohisa
合成,金子友三,Composition,Kaneko Tomozô
操演,金子芳夫,Physical Effects,Kaneko Yoshio
照明,熊木直生,Lighting,Kumaki Naoki
,,,
監督,湯浅憲明,Director,Yuasa Noriaki
,,,
出演者,,Performers,
,,,
,本郷功次郎,,Hongô Kôjirô
,笠原玲子（新人）,,Kasahara Reiko (New Face)
,丸井太郎,,Marui Tarô
,北原義郎,,Kitahara Yoshirô
,,,
,夏木章,,Natsuki Shô
,上田吉二郎,,Ueda Kichijirô
,村上不二夫,,Murakami Fujio
,北城寿太郎,,Hôjô Jutarô
,仲村隆,,Nakamura Takashi
,蛍雪太郎,,Hotaru Yukitarô
,阿部尚之（劇団いろは）,,Abe Naoyuki (Iroha Theater Company)
,,,
,大山健二,,Ôyama Kenji
,伊東光一,,Itô Kôichi
,三夏伸,,Minatsu Shin
,森矢雄二,,Moriya Yûji
,丸山修,,Maruyama Osamu
,津田駿,,Tsuda Shun
,飛田喜佐夫,,Tobita Kisao
,遠藤哲平,,Endô Tetsupei
,ジョー・オハラ,,Joe Ohara
,原田該,,Harada Gai
,,,
,伊達正,,Date Tadashi
,中田勉,,Nakata Tsutomu
,槙俊夫,,Maki Toshio
,高見貫,,Takami Nuki
,志保京助,,Shiho Kyôsuke
,杉森麟,,Sugimori Rin
,武江義雄,,Takee Yosho
,九段吾郎,,Kudan Gorô
,森田健二,,Morita Kenji
,河島尚真,,Kawashima Shôshin
,,,
,中原健,,Nakahara Ken
,喜多大八,,Kita Daihachi
,大庭健二,,Ôba Kenji
,後藤武彦,,Gotô Takehiko
,井上大吾,,Inoue Daigo
,隅田一男,,Sumida Kazuo
,髙田宗彦,,Takada Munehiko
,米沢冨士夫,,Yonezawa Fujio
,山根圭一郎,,Yamane Keiichirô
,荒木康夫,,Araki Yasuo
,,,
,南堂正樹,,Minamidô Masaki
,藤井竜史,,Fujii Ryûji
,岡郁二,,Oka Ikuji
,花布洋,,Kabu Hiroshi
,前田五郎,,Maeda Gorô
,竹里光子,,Takesato Mitsuko
,天地仁美,,Amachi Hitomi
,一条淳子,,Ichijô Junko
,岡田陽子,,Okada Yôko
,新垣輝雄,,Aragaki Teruo
