製作,永田秀雅,Producer,Nagata Hidemasa
,,,
企画,仲野和正,Planning,Nakano Kazumasa
脚本,高橋二三,Screenplay,Takahashi Nisan
,,,
撮影,喜多崎晃,Photography,Kitazaki Akira
録音,清水保太郎,Recording,Shimizu Yasutarô
照明,泉正蔵,Lighting,Izumi Shôzô
美術,山口煕,Art,Yamaguchi Hiroshi
,,,
音楽,菊池俊輔,Music,Kikuchi Shunsuke
主題歌,「ガメラマーチ」,Theme Song,“Gamera Theme”
,「ぼくらのガメラ」,,“Our Gamera”
歌,大映児童合唱団,Vocals,Daiei Children’s Choir
作詞,永田秀雅,Lyrics,Nagata Hidemasa
作編曲,広瀬健次郎,Composition and Arrangement,Hirose Kenjirô
,大映レコード,,Daiei Records
,,,
特殊撮影スタッフ,,Special Photography Staff,
撮影,金子友三,Photography,Kaneko Tomozô
特撮合成,藤井和文,Special Effects Composition,Fujii Kazufumi
美術,矢野友久,Art,Yano Tomohisa
助監督,阿部志馬,Assistant Director,Abe Shima
照明,石森七郎,Lighting,Ishimori Shichirô
操演,田中実,Physical Effects,Tanaka Minoru
,,,
編集,宮崎善行,Editing,Miyazaki Yoshiyuki
音響効果,小島明,Sound Effects,Kojima Akira
助監督,小林正夫,Assistant Director,Kobayashi Masao
製作主任,川村清,Production Manager,Kawamura Kiyoshi
現像,東京現像所,Developing,Tokyo Laboratory
,,,
出演者,,Performers,
,,,
弘ちゃん,高桑勉,Hiroshi-chan,Takakuwa Tsutomu
トミーちゃん,ケリー・バリス,Tommy-chan,Kelly Barris
スーザンちゃん,キャサリン・マーフィ,Susan-chan,Catherine Murphy
,,,
万国博広報部員,炎三四郎,Expo PR Staff,Honô Sanshirô
弘のおわえさん,八代順子,Hiroshi’s Mother,Yashiro Junko
弘のお父さん,大村崑,Hiroshi’s Father,Ômura Kon
,,,
,平泉征,,Hiraizumi Sei
,北城寿太郎,,Hôjô Jutarô
,夏木章,,Natsuki Shô
,仲村隆,,Nakamura Takashi
,三夏伸,,Minatsu Shin
,丸山修,,Maruyama Osamu
,,,
,中田勉,,Nakata Tsutomu
,森矢雄二,,Moriya Yûji
,佐伯勇,,Saeki Isamu
,飛田喜佐夫,,Tobita Kisao
,田中三津子,,Tanaka Mitsuko
,フランツ・グレーベル,,Franz Gruber
,マーリズ・ヘリー,,Mariz Helly
,チコ・ローランド,,Chico Roland
,,,
,蛍雪太郎,,Hotaru Yukitarô
,荒木康夫,,Araki Yasuo
,喜多大八,,Kita Daihachi
,井上大吾,,Inoue Daigo
,隅田一男,,Sumida Kazuo
,志保京助,,Shiho Kyôsuke
,松山新一,,Matsuyama Shin’ichi
,高田宗彦,,Takada Munehiko
,,,
,遠藤哲平,,Endô Tetsupei
,槇俊夫,,Maki Toshio
,中原健,,Nakahara Ken
,関幸四郎,,Seki Kôshirô
,小杉光史,,Kosugi Kôji
,稲妻竜二,,Inazuma Ryûji
,山本一彦,,Yamamoto Kazuhiko
,若倉慶,,Wakakura Kei
,原大作,,Hara Daisaku
,山上友夫,,Yamagami Tomoo
,,,
監督,湯浅憲明,Director,Yuasa Noriaki
