製作,永田秀雅,Producer,Nagata Hidemasa
,,,
企画,藤田昌一,Planning,Fujita Shôichi
,仲野和正,,Nakano Kazumasa
脚本,高橋二三,Screenplay,Takahashi Nisan
,,,
撮影,喜多崎晃,Photography,Kitazaki Akira
特撮,藤井和文,Special Effects,Fujii Kazufumi
録音,飛田喜美雄,Recording,Tobita Kimio
照明,上原正一,Lighting,Uehara Shôichi
美術,矢野友久,Art,Yano Tomohisa
,,,
音楽,広瀬健次郎,Music,Hirose Kenjirô
主題歌,「ガメラマーチ」,Theme Song,“Gamera Theme”
,「ぼくらのガメラ」,,“Our Gamera”
歌,大映児童合唱団,Vocals,Daiei Children’s Choir
作詞,永田秀雅,Lyrics,Nagata Hidemasa
作編曲,広瀬健次郎,Composition and Arrangement,Hirose Kenjirô
,大映レコード,,Daiei Records
,,,
編集,関口章治,Editing,Sekiguchi Shôji
特撮合成,金子友三,Special Effects Composition,Kaneko Tomozô
照明,石坂守,Lighting,Ishizaka Mamoru
操演,関谷治雄,Physical Effects,Sekiya Haruo
音響効果,小倉信義,Sound Effects,Ogura Nobuyoshi
,,,
助監督,今子正義,Assistant Director,Imako Masayoshi
製作主任,川村清,Production Manager,Kawamura Kiyoshi
協力,ボーイスカウト日本連盟,Cooperation,Boy Scouts Japan Federation
現像,東京現像所,Developing,Tokyo Laboratory
,,,
出演者,,Performers,
,,,
,本郷功次郎,,Hongô Kôjirô
,八重垣路子（新人）,,Yaegaki Michiko (New Face)
,渥美マリ（新人）,,Atsumi Mari (New Face)
,八代順子（新人）,,Yashiro Junko (New Face)
,,,
,北原義郎,,Kitahara Yoshirô
,夏木章,,Natsuki Shô
,藤山浩二,,Fujiyama Kôji
,橋本力,,Hashimoto Riki
,カール・クレイグ・ジュニア,,"Carl Craig, Jr."
,高塚徹（劇団若草）,,Takatsuka Tôru (Wakakusa Theater Company)
,,,
,豪健司,,Gô Kenji
,髙田宗彦,,Takada Munehiko
,ピーター・ウイリアムス,,Peter Williams
,中原健,,Nakahara Ken
,山根圭一郎,,Yamane Keiichirô
,篠田三郎,,Shinoda Saburô
,メリー・ムロース,,Mary Murrows
,,,
,喜多大八,,Kita Daihachi
,河島直真,,Kawashima Naomasa
,山上友夫,,Yamagami Tomoo
,船田精二,,Funada Seiji
,稲妻竜二,,Inazuma Ryûji
,西條美奈子,,Saijô Minako
,劇団ひまわり,,Himawari Theater Company
,劇団こじか,,Kojika Theater Company
ナレーター,若山弦蔵,Narrator,Wakayama Genzô
,,,
監督,湯浅憲明,Director,Yuasa Noriaki
