製作,永田秀雅,Producer,Nagata Hidemasa
,,,
企画,斉藤米二郎,Planning,Saitô Yonejirô
脚本,高橋二三,Screenplay,Takahashi Nisan
,,,
撮影,上原明,Photography,Uehara Akira
特殊撮影,藤井和文,Special Photography,Fujii Kazufumi
録音,奥山秀夫,Recording,Okuyama Hideo
照明,久保江平八,Lighting,Kuboe Heihachi
美術,矢野友久,Art,Yano Tomohisa
,,,
音楽,菊池俊輔,Music,Kikuchi Shunsuke
主題歌,「ガメラマーチ」,Theme Song,“Gamera Theme”
歌,大映児童合唱団,Vocals,Daiei Children’s Choir
作詞,永田秀雅,Lyrics,Nagata Hidemasa
作編曲,広瀬健次郎,Composition and Arrangement,Hirose Kenjirô
,大映レコード,,Daiei Records
,,,
特殊撮影スタッフ,,Special Photography Staff,
助監督,阿部志馬,Assistant Director,Abe Shima
美術,石塚章隆,Art,Ishizuka Akitaka
合成,金子友三,Composition,Kaneko Tomozô
照明,藤野慎一,Lighting,Fujino Shin’ichi
操演,恵利川秀雄,Physical Effects,Erikawa Hideo
音響効果,小島明,Sound Effects,Kojima Akira
,,,
編集,宮崎善行,Editing,Miyazaki Yoshiyuki
助監督,明瀬正美,Assistant Director,Akise Masami
製作主任,真鍋義彦,Production Manager,Manabe Yoshihiko
現像,東京現像所,Developing,Tokyo Laboratory
協力,鴨川シーワールド,Cooperation,Kamogawa Sea World
,,,
出演者,,Performers,
,,,
,八並映子,,Yanami Eiko
,笠原玲子,,Kasahara Reiko
,坪内ミキ子,,Tsubouchi Mikiko
,,,
,藤山浩二,,Fujiyama Kôji
,佐伯勇,,Saeki Isamu
,三夏伸,,Minatsu Shin
,,,
,坂上也寸志,,Sakagami Yasushi
,アーリン・ゾーナ,,Arlene Zoellner
,グロリア・ゾーナ,,Gloria Zoellner
,,,
,吉田義夫,,Yoshida Yoshio
,夏木章,,Natsuki Shô
,九段吾郎,,Kudan Gorô
,喜多大八,,Kita Daihachi
,井上大吾,,Inoue Daigo
,,,
,中原健,,Nakahara Ken
,関幸四郎,,Seki Kôshirô
,稲妻竜二,,Inazuma Ryûji
,志保京助,,Shiho Kyôsuke
,原大作,,Hara Daisaku
,小珠千慧,,Kodama Chie
,和光ミキ,,Wakô Miki
,山名佐知江,,Yamana Sachie
,,,
監督,湯浅憲明,Director,Yuasa Noriaki
