製作,小角恒雄,Producer,Kozuno Tsuneo
原案,天田欽元,Story,Amada Kingen
脚本,高久進,Screenplay,Takaku Susumu
,,,
撮影,平瀬静雄,Photography,Hirase Shizuo
,篠村荘三郎,,Shinomura Sôzaburô
美術,芳野尹孝,Art,Yoshino Tadataka
音楽,菊池俊輔,Music,Kikuchi Shunsuke
,,,
照明,青木辰夫,Lighting,Aoki Tatsuo
編集,寺田昭光,Editing,Terada Akimitsu
録音,中村寛,Recording,Nakamura Hiroshi
調音,松本隆司,Articulation,Matsumoto Ryûji
,,,
監督助手,白木慶二,Assistant Director,Shiraki Keiji
光学技術,石川智弘,Optical Technology,Ishikawa Tomohiro
装置,中村良三,Apparatus,Nakamura Ryôzô
進行,福山正幸,Progression,Fukuyama Masayuki
製作主任,内藤誠,Production Manager,Naitô Makoto
,,,
現像,東洋現像所,Developing,Toyo Laboratory
協力,日本特撮映画株式会社,Cooperation,"Nihon Tokusatsu Film Co., Ltd."
,川上景司,,Kawakami Keiji
,菅沼峻,,Suganuma Shun
,,,
出演,,Appearing,
,,,
,園井啓介,,Sonoi Keisuke
,川津祐介,,Kawazu Yûsuke
,,,
,新藤恵美,,Shindô Emi
,瞳麗子,,Hitomi Reiko
,園江梨子,,Sono Eriko
,,,
,キャシー・ホーラン,,Kathy Horan
,チコ・ローランド,,Chico Roland
,ロルフ・ジェッサー,,Ralph Jesser
,,,
,市村俊幸,,Ichimura Toshiyuki
,上田忠好,,Ueda Tadayoshi
,青山宏,,Aoyama Hiroshi
,市山達巳,,Ichiyama Tatsumi
,小森英明,,Komori Hideaki
,青沼三朗,,Aonuma Saburô
,,,
,マイク・ダニーン,,Mike Daneen
,フランツ・グルーベル,,Franz Gruber
,ハロルド・コンウェイ,,Harold Conway
,ウォルフラム・ベケシャス,,Wolfram Beckeshas
,ウィリアム・デウギュウ,,William Degeuw
,ライナ・ゲスマン,,Rainer Gessman
,ハーディ・バウマン,,Hardy Bowman
,,,
監督,二本松嘉瑞,Director,Nihonmatsu Kazui
