製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,香山滋,Original Work,Kayama Shigeru
脚本,村田武雄,Screenplay,Murata Takeo
,日高繁明,,Hidaka Shigeaki
,,,
撮影,遠藤精一,Photography,Endô Seiichi
美術監督,北猛夫,Art Director,Kita Takeo
美術,安倍輝明,Art,Abe Teruaki
録音,宮崎正信,Recording,Miyazaki Masanobu
照明,大沼正喜,Lighting,Ônuma Masaki
,,,
音楽,佐藤勝,Music,Satô Masaru
音響効果,三縄一郎,Sound Effects,Minawa Ichirô
特殊技術,渡辺明,Special Technology,Watanabe Akira
,向山宏,,Mukôyama Hiroshi
,城田正雄,,Shirota Masao
,,,
監督助手,岩城英二,Assistant Director,Iwaki Eiji
編集,平一二,Editing,Taira Kazuji
現像,東宝現像所,Developing,Toho Laboratory
製作担当者,馬場和夫,Production Manager,Baba Kazuo
,,,
出演者,,Performers,
,,,
,小泉博,,Koizumi Hiroshi
,若山セツ子,,Wakayama Setsuko
,千秋実,,Chiaki Minoru
,志村喬,,Shimura Takashi
,,,
,清水将夫,,Shimizu Masao
,恩田清二郎,,Onda Seijirô
,沢村宗之助,,Sawamura Sônosuke
,土屋嘉男,,Tsuchiya Yoshio
,木匠マユリ,,Mokushô Mayuri
,,,
,山田巳之助,,Yamada Minosuke
,笠間雪雄,,Kasama Yukio
,大村千吉,,Ômura Senkichi
,山本廉,,Yamamoto Ren
,大友伸,,Ôtomo Shin
,土屋博敏,,Tsuchiya Hirotoshi
,笈川武夫,,Oikawa Takeo
,,,
,牧壮吉,,Maki Sôkichi
,広瀬正一,,Hirose Shôichi
,吉田新,,Yoshida Shin
,夏木順平,,Natsuki Junpei
,三田照子,,Mita Teruko
,手塚勝巳,,Tezuka Katsumi
,中島春雄,,Nakajima Haruo
,星野みよ子 (コロムビア),,Hoshino Miyoko (Columbia)
,,,
特技監督,圓谷英二,Special Effects Director,Tsumuraya Eiji
,,,
監督,小田基義,Director,Oda Motoyoshi
