製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,,,
撮影,長谷川清,Photography,Hasegawa Kiyoshi
美術,本多好文,Art,Honda Yoshifumi
録音,矢野口文雄,Recording,Yanoguchi Fumio
照明,佐藤幸次郎,Lighting,Satô Kôjirô
,,,
音楽,伊福部昭,Music,Ifukube Akira
整音,東宝録音センター,Dubbing,Toho Recording Center
効果,東宝効果集団,Effects,Toho Effects Group
主題歌,東宝レコード,Theme Song,Toho Records
「ゴジラマーチ」,,“Godzilla March”,
作詞,関沢新一,Lyrics,Sekizawa Shin’ichi
,福田純,,Fukuda Jun
作曲,宮内国郎,Composition,Miyauchi Kunio
唄,石川進,Vocals,Ishikawa Susumu
「ゆけ！ ゆけ！ ゴジラ」,,“Go! Go! Godzilla”,
作詞,関沢新一,Lyrics,Sekizawa Shin’ichi
作曲,萩原哲晶,Composition,Hagiwara Tetsuaki
唄,石川進,Vocals,Ishikawa Susumu
,,,
特殊技術,中野昭慶,Special Technology,Nakano Teruyoshi
撮影,富岡素敬,Photography,Tomioka Mototaka
美術,青木利郎,Art,Aoki Toshirô
操演,中代文雄,Physical Effects,Nakadai Fumio
光学撮影,徳政義行,Optical Photography,Tokumasa Yoshiyuki
合成,土井三郎,Composition,Doi Saburô
,,,
監督助手,岡田文亮,Assistant Director,Okada Fumiaki
編集,田村嘉男,Editing,Tamura Yoshio
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,森知貴秀,Production Manager,Morichi Takahide
,,,
出演者,,Performers,
,,,
,石川博,,Ishikawa Hiroshi
,梅田智子,,Umeda Tomoko
,菱見百合子,,Hishimi Yuriko
,,,
,高島稔,,Takashima Minoru
,藤田漸,,Fujita Zan
,西沢利明,,Nishizawa Toshiaki
,村井国夫,,Murai Kunio
,,,
,清水元,,Shimizu Gen
,葦原邦子,,Ashihara Kuniko
,中村是好,,Nakamura Koreyoshi
,武藤章生,,Mutô Shôsei
,草川直也,,Kusakawa Naoya
,大前亘,,Ômae Wataru
,,,
,木村博人,,Kimura Hiroto
,渡辺貞男,,Watanabe Sadao
,西川明,,Nishikawa Akira
,斉藤宣丈,,Saitô Nobutake
,中島春雄,,Nakajima Haruo
,大宮幸悦,,Ômiya Kôetsu
,伊奈貫太,,Ina Kanta
,中山剣吾,,Nakayama Kengo
,,,
監督,福田純,Director,Fukuda Jun
