製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,関沢新一,Original Work,Sekizawa Shin’ichi
,福島正実,,Fukushima Masami
,,,
脚本,山浦弘靖,Screenplay,Yamaura Hiroyasu
,福田純,,Fukuda Jun
,,,
撮影,逢沢譲,Photography,Aizawa Yuzuru
美術,薩谷和夫,Art,Satsuya Kazuo
録音,矢野口文雄,Recording,Yanoguchi Fumio
照明,森本正邦,Lighting,Morimoto Masakuni
,,,
音楽,佐藤勝,Music,Satô Masaru
主題歌,東宝レコード,Theme Song,Toho Records
「ミヤラビの祈り」,,“Miyarabi’s Prayer”,
作詞,福田純,Lyrics,Fukuda Jun
作曲,佐藤勝,Composition,Satô Masaru
唄,ベルベラ・リーン,Vocals,Barbara Lin
,,,
監督助手,西川常三郎,Assistant Director,Nishikawa Tsunesaburô
編集,池田美千子,Editing,Ikeda Michiko
スチール,田中一清,Still Photography,Tanaka Kazukiyo
整音,東宝録音センター,Dubbing,Toho Recording Center
効果,東宝効果集団,Effects,Toho Effects Group
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,篠田啓助,Production Manager,Shinoda Keisuke
,,,
特殊技術,,Special Technology,
撮影,富岡素敬,Photography,Tomioka Mototaka
,山本武,,Yamamoto Takeshi
美術,青木利郎,Art,Aoki Toshirô
,小村完,,Komura Kan
合成,三瓶一信,Composition,Sanbe Kazunobu
光学撮影,宮西武史,Optical Photography,Miyanishi Takeshi
光学作画,川名正,Optical Drawing,Kawana Masa
操演,小川昭二,Physical Effects,Ogawa Shôji
,,,
協力,日本高速フェリー,Cooperation,Japan Express Ferry
,全日空,,All Nippon Airways
,沖縄玉泉洞,,Okinawa Gyokusen Cave
,照国郵船,,Terukuni Yûsen
,,,
出演者,,Performers,
,,,
,大門正明,,Daimon Masaaki
,青山一也,,Aoyama Kazuya
,,,
,田島令子,,Tajima Reiko
,ベルベラ・リーン,,Barbara Lin
,松下ひろみ,,Matsushita Hiromi
,,,
,平田昭彦,,Hirata Akihiko
,小泉博,,Koizumi Hiroshi
,睦五郎,,Mutsumi Gorô
,岸田森,,Kishida Shin
,,,
,佐原健二,,Sahara Kenji
,草野大悟,,Kusano Daigo
,鳥居功靖,,Torii Isao
,小川安三,,Ogawa Yasuzô
,今福正雄,,Imafuku Masao
,,,
,渡辺高光,,Watanabe Takamitsu
,遠矢孝信,,Tôya Takanobu
,鹿島信哉,,Kashima Shin’ya
,柳沢優一,,Yanagisawa Yûichi
,北川陽一郎,,Kitagawa Yôichirô
,,,
キングシーサー,久須美護,King Caesar,Kusumi Mamoru
ゴジラ,図師勲,Godzilla,Zushi Isao
メカゴジラ,森一成,Mechagodzilla,Mori Kazunari
,,,
特技監督,中野昭慶,Special Effects Director,Nakano Teruyoshi
,,,
監督,福田純,Director,Fukuda Jun
