製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,関沢新一,Original Work,Sekizawa Shin’ichi
脚本,福田純,Screenplay,Fukuda Jun
,,,
撮影,逢沢譲,Photography,Aizawa Yuzuru
美術,本多好文,Art,Honda Yoshifumi
録音,林頴四郎,Recording,Hayashi Eishirô
照明,森本正邦,Lighting,Morimoto Masakuni
効果,東宝効果集団,Effects,Toho Effects Group
整音,東宝録音センター,Dubbing,Toho Recording Center
,,,
音楽,眞鍋理一郎,Music,Manabe Riichirô
主題歌,東宝レコード,Theme Song,Toho Records
「ゴジラとジェットジャガーでパンチ・パンチ・パンチ!」,,"“Godzilla and Jet Jaguar, Punch, Punch, Punch!”",
作詞,関沢新一,Lyrics,Sekizawa Shin’ichi
作曲,眞鍋理一郎,Composition,Manabe Riichirô
歌,子門真人,Vocals,Shimon Masato
,,,
演出助手,西川常三郎,Production Assistant,Nishikawa Tsunesaburô
編集,池田美千子,Editing,Ikeda Michiko
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,篠田啓助,Production Manager,Shinoda Keisuke
協力,本田技研工業株式会社,Cooperation,"Honda Motor Co., Ltd."
,,,
特殊技術,,Special Technology,
特殊技術,中野昭慶,Special Technology,Nakano Teruyoshi
撮影,富岡素敬,Photography,Tomioka Mototaka
美術,青木利郎,Art,Aoki Toshirô
光学撮影,宮西武史,Optical Photography,Miyanishi Takeshi
操演,小川昭二,Physical Effects,Ogawa Shôji
合成,三瓶一信,Composition,Sanbe Kazunobu
,,,
出演者,,Performers,
,,,
,佐々木勝彦,,Sasaki Katsuhiko
,林ゆたか,,Hayashi Yutaka
,川瀬裕之,,Kawase Hiroyuki
,,,
,森幹太,,Mori Kanta
,富田浩太郎,,Tomita Kôtarô
,大月ウルフ,,Ôtsuki Wolf
,三上左京,,Mikami Sakyô
,池田芙美太,,Ikeda Fumita
,中島元,,Nakajima Gen
,,,
,ロバート・ダンハム,,Robert Dunham
,ロルフ・ジェサップ,,Rolf Jessup
,チーム・ザンバ,,Team Zamba
,高木真二,,Takagi Shinji
,伊達秀人,,Date Hideto
,駒田次利,,Komada Tsugutoshi
,森正親,,Mori Masachika
,中山剣吾,,Nakayama Kengo
,渡辺高光,,Watanabe Takamitsu
,,,
監督,福田純,Director,Fukuda Jun
