製作,猪股尭,Producer,Inomata Takashi
脚本,高久進,Screenplay,Takaku Susumu
,小林久三,,Kobayashi Kyûzô
,,,
撮影,平瀬静雄,Photography,Hirase Shizuo
美術,芳野尹孝,Art,Yoshino Tadataka
音楽,菊池俊輔,Music,Kikuchi Shunsuke
,,,
照明,青木辰夫,Lighting,Aoki Tatsuo
編集,寺田昭光,Editing,Terada Akimitsu
録音,中村寛,Recording,Nakamura Hiroshi
調音,松本隆司,Articulation,Matsumoto Ryûji
,,,
監督助手,白木慶二,Assistant Director,Shiraki Keiji
装置,新映美術工芸,Apparatus,Shinei Arts and Crafts
進行,福山正幸,Progression,Fukuyama Masayuki
現像,東洋現像所,Developing,Toyo Laboratory
,,,
製作主任,内藤誠,Production Manager,Naitô Makoto
,渡辺寿男,,Watanabe Toshio
協力,ピー・プロダクション,Cooperation,P. Productions
,小嶋伸介,,Kojima Shinsuke
,岡田元侑,,Okada Motoyuki
,三上睦男,,Mikami Mutsuo
,,,
出演,,Appearing,
,,,
,吉田輝雄,,Yoshida Teruo
,佐藤友美,,Satô Tomomi
,,,
,高英男,,Kô Hideo
,高橋昌也,,Takahashi Masaya
,金子信雄,,Kaneko Nobuo
,,,
,北村英三,,Kitamura Eizô
,楠侑子,,Kusunoki Yûko
,加藤和夫,,Katô Kazuo
,,,
,西本裕行,,Nishimoto Hiroyuki
,山本紀彦,,Yamamoto Norihiko
,キャシー・ホーラン,,Kathy Horan
,,,
監督,佐藤肇,Director,Satô Hajime
