企画,扇沢要,Planning,Ôgisawa Kaname
原作,永松健夫,Original Work,Nagamatsu Takeo
脚本,高久進,Screenplay,Takaku Susumu
監修,加太こうじ,Supervisor,Kata Kôji
,,,
撮影,山沢義一,Photography,Yamasawa Yoshikazu
録音,内田陽造,Recording,Uchida Yôzô
照明,銀屋謙蔵,Lighting,Ginya Kenzô
美術,江野慎一,Art,Eno Shin’ichi
音楽,菊池俊輔,Music,Kikuchi Shunsuke
,,,
編集,祖田冨美夫,Editing,Soda Fumio
特殊撮影,上村貞夫,Special Photography,Uemura Sadao
助監督,山口和彦,Assistant Director,Yamaguchi Kazuhiko
進行主任,久野義雄,Progression Manager,Hisano Yoshio
現像,東映化学工業株式会社,Developing,"Toei Chemical Industry Co., Ltd."
,,,
主題歌,「黄金バット」,Theme Song,“Golden Bat”
作詞,第一動画,Lyrics,Daiichi Dôga
作曲,田中正史,Composition,Tanaka Masashi
歌,ボーカル・ショップ,Vocals,Vocal Shop
黄金バットの声,小林修,Voice of Golden Bat,Kobayashi Osamu
,朝日ソノラマ,,Asahi Sonorama
協力,第一動画株式会社,Cooperation,"Daiichi Dôga Co., Ltd."
,,,
出演者,,Performers,
,,,
,ミスター黄金バット,,Mr. Golden Bat
,,,
,千葉真一,,Chiba Shin’ichi
,,,
,中田博久,,Nakata Hirohisa
,高見エミリー,,Takami Emily
,山川ワタル,,Yamakawa Wataru
,,,
,佐藤汎彦,,Satô Hirohiko
,関山耕司,,Sekiyama Kôji
,沼田曜一,,Numata Yôichi
,国景子,,Kuni Keiko
,,,
,北川恵一,,Kitagawa Keiichi
,片山滉,,Katayama Akira
,アンドレ・ヒューズ,,Andrew Hughes
,岡野耕作,,Okano Kôsaku
,,,
,菅原壮男,,Sugawara Takeo
,山田甲一,,Yamada Kôichi
,亀山達也,,Kameyama Tatsuya
,松平峰夫,,Matusdaira Mineo
,鈴木義征,,Suzuki Yoshiyuki
,佐川二郎,,Sagawa Jirô
,萩原正勝,,Hagiwara Masakatsu
,都健二,,Miyako Kenji
,,,
,青島幸男,,Aoshima Yukio
,筑波久子,,Tsukuba Hisako
,,,
監督,佐藤肇,Director,Satô Hajime
