製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,海上日出男,Original Work,Unagami Hideo
脚本,木村武,Screenplay,Kimura Takeshi
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,北猛夫,Art,Kita Takeo
録音,三上長七郎,Recording,Mikami Chôshichirô
,宮崎正信,,Miyazaki Masanobu
照明,西川鶴三,Lighting,Nishikawa Tsuruzô
音楽,佐藤勝,Music,Satô Masaru
,,,
特殊技術,,Special Technology,
撮影,荒木秀三郎,Photography,Araki Hidesaburô
,有川貞昌,,Arikawa Sadamasa
美術,渡辺明,Art,Watanabe Akira
照明,城田正雄,Lighting,Shirota Masao
合成,向山宏,Composition,Mukôyama Hiroshi
,,,
監督助手,梶田興治,Assistant Director,Kajita Kôji
編集,平一二,Editing,Taira Kazuji
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,眞木照夫,Production Manager,Maki Teruo
,,,
出演者,,Performers,
,,,
,白川由美,,Shirakawa Yumi
,佐原健二,,Sahara Kenji
,,,
,平田昭彦,,Hirata Akihiko
,小沢栄太郎,,Ozawa Eitarô
,千田是也,,Senda Koreya
,佐藤允,,Satô Makoto
,,,
,伊藤久哉,,Itô Hisaya
,北川町子,,Kitagawa Machiko
,土屋嘉男,,Tsuchiya Yoshio
,白石奈緒美,,Shiraishi Naomi
,三島耕,,Mishima Kô
,,,
,田島義文,,Tajima Yoshibumi
,中村哲,,Nakamura Tetsu
,加藤春哉,,Katô Haruya
,大村千吉,,Ômura Senkichi
,園田あゆみ,,Sonoda Ayumi
,林幹,,Hayashi Kan
,山田巳之助,,Yamada Minosuke
,藤尾純,,Fujio Jun
,,,
,山本廉,,Yamamoto Ren
,瀬良明,,Sera Akira
,中丸忠雄,,Nakamaru Tadao
,夏木陽介,,Natsuki Yôsuke
,家田佳子,,Ieda Yoshiko
,重信安宏,,Shigenobu Yasuhiro
,山田彰,,Yamada Akira
,桐野洋雄,,Kirino Nadao
,佐田豊,,Sada Yutaka
,大友伸,,Ôtomo Shin
,,,
,生方壮児,,Ubukata Sôji
,津田光男,,Tsuda Mitsuo
,中山豊,,Nakayama Yutaka
,坪野鎌之,,Tsubono Kamayuki
,加藤茂雄,,Katô Shigeo
,岡豊,,Oka Yutaka
,広瀬正一,,Hirose Shôichi
,熊谷二良,,Kumagai Jirô
,草間璋夫,,Kusama Akio
,土屋詩朗,,Tsuchiya Shirô
,手塚勝巳,,Tezuka Katsumi
,中島春雄,,Nakajima Haruo
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
