製作,藤本真澄,Producer,Fujimoto Sanezumi
,黒澤明,,Kurosawa Akira
,,,
脚本,菊島隆三,Screenplay,Kikushima Ryûzô
,小国英雄,,Oguni Hideo
,橋本忍,,Hashimoto Shinobu
,黒澤明,,Kurosawa Akira
,,,
撮影,山崎市雄,Photography,Yamazaki Ichio
美術,村木与四郎,Art,Muraki Yoshirô
録音,矢野口文雄,Recording,Yanoguchi Fumio
,下永尚,,Shimonaga Hisashi
照明,猪原一郎,Lighting,Inohara Ichirô
音楽,佐藤勝,Music,Satô Masaru
,,,
美術監修,江崎孝坪,Art Supervisor,Ezaki Kôhei
監督助手,野長瀬三摩地,Assistant Director,Nonagase Samaji
特殊技術,東宝技術部,Special Technology,Toho Engineering Department
製作担当者,根津博,Production Manager,Nezu Hiroshi
,,,
出演者,,Performers,
,,,
,三船敏郎,,Mifune Toshirô
,,,
,千秋実,,Chiaki Minoru
,藤原釜足,,Fujiwara Kamatari
,藤田進,,Fujita Susumu
,志村喬,,Shimura Takashi
,上原美佐,,Uehara Misa
,,,
,三好栄子,,Miyoshi Eiko
,樋口年子,,Higuchi Toshiko
,藤木悠,,Fujiki Yû
,土屋嘉男,,Tsuchiya Yoshio
,高堂國典,,Kôdô Kuninori
,加藤武,,Katô Takeshi
,三井弘次 (松竹),,Mitsui Kôji (Shochiku)
,小川虎之助,,Ogawa Toranosuke
,,,
,上田吉二郎,,Ueda Kichijirô
,富田仲次郎,,Tomita Nakajirô
,田島義文,,Tajima Yoshibumi
,沢村いき雄,,Sawamura Ikio
,大村千吉,,Ômura Senkichi
,堺左千夫,,Sakai Sachio
,佐藤允,,Satô Makoto
,小杉義男,,Kosugi Yoshio
,,,
,谷晃,,Tani Akira
,佐田豊,,Sada Yutaka
,笈川武夫,,Oikawa Takeo
,中丸忠雄,,Nakamaru Tadao
,熊谷二良,,Kumagai Jirô
,広瀬正一,,Hirose Shôichi
,西條悦郎,,Saijô Etsurô
,長島正芳,,Nagashima Masayoshi
,大橋史典,,Ôhashi Fuminori
,大友伸,,Ôtomo Shin
,,,
,伊藤実,,Itô Minoru
,鈴木治夫,,Suzuki Haruo
,金澤重勝,,Kanazawa Shigekatsu
,日方一夫,,Hinata Kazuo
,中島春雄,,Nakajima Haruo
,久世竜,,Kuze Ryû
,千葉一郎,,Chiba Ichirô
,砂川繁視,,Sunakawa Shigemi
,緒方燐作,,Ogata Rinsaku
,山口博義,,Yamaguchi Hiroyoshi
,坂本晴哉,,Sakamoto Haruya
,,,
香取神道流,杉野嘉男,Katori Shinto Style,Sugino Yoshio
大日本弓馬会武田流,金子家教,Dainippon Yuma Kai Association Takeda Style,Kaneko Kakyô
,遠藤茂,,Endô Shigeru
振付,県洋二,Choreography,Ken Yôji
,日劇ダンシングチーム,,Nichigeki Dancing Team
,東宝芸能学校,,Toho Performing Arts School
,,,
監督,黒澤明,Director,Kurosawa Akira
