製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,木村武,Screenplay,Kimura Takeshi
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,清水喜代志,Art,Shimizu Kiyoshi
録音,藤好昌生,Recording,Fujiyoshi Masao
,宮崎正信,,Miyazaki Masanobu
照明,高島利雄,Lighting,Takashima Toshio
,,,
特殊技術,,Special Technology,
光学撮影,荒木秀三郎,Optical Photography,Araki Hidesaburô
撮影,有川貞昌,Photography,Arikawa Sadamasa
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirô
,,,
音楽,宮内國郎,Music,Miyauchi Kunio
作詞,片山貞一,Lyrics,Katayama Teiichi
作曲,杵屋勝四郎,Composition,Kineya Katsushirô
作調,堅田喜四郎,Staging,Katada Kishirô
振付,若柳美東理樹,Choreography,Wakayanagi Midorigi
,,,
監督助手,梶田興治,Assistant Director,Kajita Kôji
編集,平一二,Editing,Taira Kazuji
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂本泰明,Production Manager,Sakamoto Yasuaki
,,,
出演者,,Performers,
,,,
,三橋達也,,Mihashi Tatsuya
,,,
,八千草薫,,Yachigusa Kaoru
,土屋嘉男,,Tsuchiya Yoshio
,佐多契子,,Sada Keiko
,,,
,伊藤久哉,,Itô Hisaya
,田島義文,,Tajima Yoshibumi
,小杉義男,,Kosugi Yoshio
,村上冬樹,,Murakami Fuyuki
,左卜全,,Hidari Bokuzen
,,,
,佐々木孝丸,,Sasaki Takamaru
,山田巳之助,,Yamada Minosuke
,松村達雄,,Matsumura Tatsuo
,宮田羊容,,Miyata Yôyô
,三島耕,,Mishima Kô
,野村浩三,,Nomura Kôzô
,,,
,山本廉,,Yamamoto Ren
,松本染升,,Matsumoto Someshô
,堤康久,,Tsutsumi Yasuhisa
,山田彰,,Yamada Akira
,広瀬正一,,Hirose Shôichi
,中村哲,,Nakamura Tetsu
,塩沢とき,,Shiozawa Toki
,,,
,熊谷二良,,Kumagai Jirô
,坪野鎌之,,Tsubono Kamayuki
,緒方燐作,,Ogata Rinsaku
,榊田敬二,,Sakakida Keiji
,岡豊,,Oka Yutaka
,山田圭介,,Yamada Keisuke
,権藤幸彦,,Gondô Yukihiko
,草間璋夫,,Kusama Akio
,松本光男,,Matsumoto Mitsuo
,佐藤功一,,Satô Kôichi
,,,
,安芸津広,,Akitsu Hiroshi
,澁谷英男,,Shibuya Hideo
,橘正晃,,Tachibana Masaaki
,黒田忠彦,,Kuroda Tadahiko
,藤野珠美,,Fujino Tamami
,伊藤実,,Itô Minoru
,大前亘,,Ômae Wataru
,速水洸,,Hayami Kô
,鈴川二郎,,Suzukawa Jirô
,広田新二郎,,Hirota Shinjirô
,,,
長唄,富士田吉四郎,Vocalists,Fujita Yoshishirô
,柏庄太郎,,Kashiwa Shôtarô
,杵屋胡十郎,,Kineya Kojûrô
,芳村久太郎,,Yoshimura Kyûtarô
三味線,杵屋勝四郎,Shamisen,Kineya Katsushirô
,杵屋和喜輔,,Kineya Wakisuke
,杵屋和四之,,Kineya Washino
,杵屋和四三郎,,Kineya Washisaburô
,杵屋和之助,,Kineya Wanosuke
囃子,,Accompaniment,
笛,鳳声信秀,Flute,Hôsei Nobuhide
小鼓,堅田喜四郎,Tsunemi Drum,Katada Kishirô
太鼓,堅田喜三郎,Taiko Drum,Katada Kisaburô
太鼓,堅田喜三久,Taiko Drum,Katada Kisaku
大太鼓,福原宏,Bass Drum,Fukuhara Hiroshi
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
