製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,北猛夫,Art,Kita Takeo
録音,小沼渡,Recording,Onuma Wataru
照明,小島正七,Lighting,Kojima Shôshichi
音楽,伊福部昭,Music,Ifukube Akira
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,梶田興治,Assistant Director,Kajita Kôji
編集,藤井良平,Editing,Fujii Ryôhei
音響効果,西本定正,Sound Effects,Nishimoto Sadamasa
合成,向山宏,Composition,Mukôyama Hiroshi
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,鈴木政雄,Production Manager,Suzuki Masao
,小池忠司,,Koike Tadashi
,,,
特殊技術,,Special Technology,
撮影,有川貞昌,Photography,Arikawa Sadamasa
,富岡素敬,,Tomioka Mototaka
光学撮影,真野田幸雄,Optical Photography,Manoda Yukio
,飯塚定雄,,Îzuka Sadao
照明,岸田九一郎,Lighting,Kishida Kuichirô
美術,渡辺明,Art,Watanabe Akira
操演,中代文雄,Physical Effects,Nakadai Fumio
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
,,,
出演者,,Performers,
,,,
,宝田明,,Takarada Akira
,ニック・アダムス,,Nick Adams
,,,
,水野久美,,Mizuno Kumi
,沢井桂子,,Sawai Keiko
,田崎潤,,Tazaki Jun
,土屋嘉男,,Tsuchiya Yoshio
,久保明,,Kubo Akira
,,,
,佐々木孝丸,,Sasaki Takamaru
,村上冬樹,,Murakami Fuyuki
,田島義文,,Tajima Yoshibumi
,田武謙三,,Tabu Kenzô
,千石規子,,Sengoku Noriko
,松本染升,,Matsumoto Someshô
,清水元,,Shimizu Gen
,,,
,伊吹徹,,Ibuki Tôru
,鈴木和夫,,Suzuki Kazuo
,堤康久,,Tsutsumi Yasuhisa
,桐野洋雄,,Kirino Nadao
,塩沢とき,,Shiozawa Toki
,津田光男,,Tsuda Mitsuo
,熊谷卓三,,Kumagai Takuzô
,宇野晃司,,Uno Kôji
,,,
,橘正晃,,Tachibana Masaaki
,岡豊,,Oka Yutaka
,緒方燐作,,Ogata Rinsaku
,岡部正,,Okabe Tadashi
,清水良二,,Shimizu Ryôji
,古河秀樹,,Furukawa Hideki
,坪野鎌之,,Tsubono Kamayuki
,伊藤実,,Itô Minoru
,,,
,中島春雄,,Nakajima Haruo
,篠原正記,,Shinohara Masaki
,広瀬正一,,Hirose Shôichi
グレンの声,納谷悟朗,Voice of Glenn,Naya Gorô
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
