製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,馬淵薫,Screenplay,Mabuchi Kaoru
テクニカル・アドバイザー,アーサー・ランキン,Technical Advisor,Arthur Rankin
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,北猛夫,Art,Kita Takeo
録音,吉沢昭一,Recording,Yoshizawa Shôichi
照明,高島利雄,Lighting,Takashima Toshio
音楽,伊福部昭,Music,Ifukube Akira
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,佐野健,Assistant Director,Sano Ken
編集,藤井良平,Editing,Fujii Ryôhei
音響効果,西本定正,Sound Effects,Nishimoto Sadamasa
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂本泰明,Production Manager,Sakamoto Yasuaki
,,,
特殊技術,,Special Technology,
撮影,富岡素敬,Photography,Tomioka Mototaka
,真野田陽一,,Manoda Yôichi
光学撮影,徳政義行,Optical Photography,Tokumasa Yoshiyuki
美術,井上泰幸,Art,Inoue Yasuyuki
照明,岸田九一郎,Lighting,Kishida Kuichirô
合成,向山宏,Composition,Mukôyama Hiroshi
操演,中代文雄,Physical Effects,Nakadai Fumio
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
,,,
出演者,,Performers,
,,,
,宝田明,,Takarada Akira
,浜美枝,,Hama Mie
,,,
,ローズ・リーズン,,Rhodes Reason
,リンダ・ミラー,,Linda Miller
,,,
,天本英世,,Amamoto Hideyo
,田島義文,,Tajima Yoshibumi
,堺左千夫,,Sakai Sachio
,北竜二,,Kita Ryûji
,沢村いき雄,,Sawamura Ikio
,,,
,桐野洋雄,,Kirino Nadao
,広瀬正一,,Hirose Shôichi
,鈴木和夫,,Suzuki Kazuo
,伊吹徹,,Ibuki Tôru
,草川直也,,Kusakawa Naoya
,黒部進,,Kurobe Susumu
,,,
,中島春雄,,Nakajima Haruo
,関田裕,,Sekita Hiroshi
ローズ・リーズンの声,田口計,Voice of Rhodes Reason,Taguchi Kei
リンダ・ミラーの声,山東昭子,Voice of Linda Miller,Santô Akiko
殺陣,久世竜,Swordmaster,Kuze Ryû
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
