製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,北猛夫,Art,Kita Takeo
,安倍輝明,,Abe Teruaki
録音,藤好昌生,Recording,Fujiyoshi Masao
照明,高島利雄,Lighting,Takashima Toshio
音楽,伊福部昭,Music,Ifukube Akira
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,梶田興治,Assistant Director,Kajita Kôji
編集,兼子玲子,Editing,Kaneko Reiko
音響効果,西本定正,Sound Effects,Nishimoto Sadamasa
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,中村茂,Production Manager,Nakamura Shigeru
,,,
特殊技術,,Special Technology,
撮影,有川貞昌,Photography,Arikawa Sadamasa
,富岡素敬,,Tomioka Mototaka
光学撮影,幸隆生,Optical Photography,Miyuki Takao
,真野田幸雄,,Manoda Yukio
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirô
合成,向山宏,Composition,Mukôyama Hiroshi
製作担当者,成田貫,Production Manager,Narita Kan
,,,
出演者,,Performers,
,,,
,高島忠夫,,Takashima Tadao
,佐原健二,,Sahara Kenji
,藤木悠,,Fujiki Yû
,,,
,有島一郎,,Arishima Ichirô
,田崎潤,,Tazaki Jun
,平田昭彦,,Hirata Akihiko
,浜美枝,,Hama Mie
,若林映子,,Wakabayashi Akiko
,,,
,根岸明美,,Negishi Akemi
,小杉義男,,Kosugi Yoshio
,田島義文,,Tajima Yoshibumi
,沢村いき雄,,Sawamura Ikio
,松本染升,,Matsumoto Someshô
,三島耕,,Mishima Kô
,堺左千夫,,Sakai Sachio
,松村達雄,,Matsumura Tatsuo
,,,
,大村千吉,,Ômura Senkichi
,山本廉,,Yamamoto Ren
,加藤春哉,,Katô Haruya
,大友伸,,Ôtomo Shin
,桐野洋雄,,Kirino Nadao
,堤康久,,Tsutsumi Yasuhisa
,中山豊,,Nakayama Yutaka
,古田俊彦,,Furuta Toshihiko
,草川直也,,Kusakawa Naoya
,津田光男,,Tsuda Mitsuo
,東郷晴子,,Tôgô Haruko
,田武謙三,,Tabu Kenzô
,,,
,熊谷二良,,Kumagai Jirô
,土屋詩朗,,Tsuchiya Shirô
,小川安三,,Ogawa Yasuzô
,鈴木和夫,,Suzuki Kazuo
,三井紳平,,Mitsui Shinpei
,橘正晃,,Tachibana Masaaki
,坂本晴哉,,Sakamoto Haruya
,峯丘ひろみ,,Mineoka Hiromi
,平野治男,,Hirano Haruo
,丘照美,,Oka Terumi
,千葉一郎,,Chiba Ichirô
,紅美恵子,,Kurenai Mieko
,,,
,ダグラス・フェーン,,Douglas Fein
,ハロルド・コンウェイ,,Harold Conway
,オスマン・ユセフ,,Osman Yusuf
,広瀬正一,,Hirose Shôichi
,中島春雄,,Nakajima Haruo
,手塚勝巳,,Tezuka Katsumi
,東宝芸能学校生徒,,Toho Performing Arts School Students
振付,青木賢二,Choreography,Aoki Kenji
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
