製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,テッド・シャードマン,,Ted Sherdeman
,,,
撮影,完倉泰一,Photography,Kankura Taiichi
美術,北猛夫,Art,Kita Takeo
録音,藤好昌生,Recording,Fujiyoshi Masao
照明,隠田紀一,Lighting,Onda Kiichi
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,谷清次,Assistant Director,Tani Seiji
編集,武田うめ,Editing,Takeda Ume
音響効果,西本定正,Sound Effects,Nishimoto Sadamasa
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂本泰明,Production Manager,Sakamoto Yasuaki
,,,
特殊撮影,,Special Photography,
撮影,富岡素敬,Photography,Tomioka Mototaka
,真野田陽一,,Manoda Yôichi
光学撮影,徳政義行,Optical Photography,Tokumasa Yoshiyuki
美術,井上泰幸,Art,Inoue Yasuyuki
照明,原文良,Lighting,Hara Fumiyoshi
操演,中代文雄,Physical Effects,Nakadai Fumio
合成,向山宏,Composition,Mukôyama Hiroshi
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
,,,
音楽,伊福部昭,Music,Ifukube Akira
サウンドトラック盤,東芝レコード,Soundtrack Label,Toshiba Records
,,,
出演者,,Performers,
,,,
,宝田明,,Takarada Akira
,,,
,ジョセフ・コットン,,Joseph Cotten
,,,
,シーザー・ロメロ,,Cesar Romero
,,,
,岡田真澄,,Okada Masumi
,リチャード・ジェッケル,,Richard Jaeckel
,,,
,中山麻理,,Nakayama Mari
,パトリシア・メデイナ,,Patricia Medina
,平田昭彦,,Hirata Akihiko
,,,
,中村哲,,Nakamura Tetsu
,大前鈞,,Ômae Hitoshi
,リンダ・ヘインズ,,Linda Haynes
,黒木ひかる,,Kuroki Hikaru
,,,
,黒部進,,Kurobe Susumu
,西条康彦,,Saijô Yasuhiko
,中島春雄,,Nakajima Haruo
,関田裕,,Sekita Hiroshi
,,,
声の出演,納谷悟朗,Voice Performers,Naya Gorô
,村越伊知郎,,Murakoshi Ichirô
,富田耕生,,Tomita Kôsei
,平井道子,,Hirai Michiko
,翠準子,,Midori Junko
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
