製作,猪股尭,Producer,Inomata Takashi
,,,
脚本,下飯坂菊馬,Screenplay,Shimoiizaka Kikuma
,小林久三,,Kobayashi Kyûzô
,,,
撮影,加藤正幸,Photography,Katô Masayuki
,赤松隆司,,Akamatsu Takashi
美術,森田郷平,Art,Morita Kyôhei
音楽,西山登,Music,Nishiyama Noboru
,,,
照明,佐久間丈彦,Lighting,Sakuma Takehiko
編集,太田和夫,Editing,Ôta Kazuo
録音,小林英男,Recording,Kobayashi Hideo
調音,佐藤広文,Articulation,Satô Hirofumi
,,,
監督助手,立仙雅巳,Assistant Director,Tachisen Masami
進行,池田義徳,Progression,Ikeda Yoshinori
現像,東洋現像所,Developing,Toyo Laboratory
製作主任,川辺一外,Production Manager,Kawabe Ichigai
協力,日本特撮映画株式会社,Cooperation,"Nihon Tokusatsu Film Co., Ltd."
,川上景司,,Kawakami Keiji
,福田太郎,,Fukuda Tarô
,,,
出演,,Appearing,
,,,
,松岡きっこ,,Matsuoka Kikko
,入川保則,,Irikawa Yasunori
,,,
,岡田真澄,,Okada Masumi
,内田朝雄,,Uchida Asao
,小池朝雄,,Koike Asao
,,,
,山本紀彦,,Yamamoto Norihiko
,桔梗恵二郎,,Kikiyô Keijirô
,高木均,,Takagi Hitoshi
,谷口香,,Taniguchi Kaori
,柳川慶子,,Yanagawa Keiko
,,,
,真弓田一夫,,Mayuda Kazuo
,平野稔,,Hirano Minoru
,内田海舟,,Uchida Kaishû
,健部道子,,Kenbe Michiko
,竜宮城水中バレエ団,,Ryûgûjô Underwater Ballet Company
,,,
,金子信雄,,Kaneko Nobuo
,西村晃,,Nishimura Kô
,,,
監督,松野宏軌,Director,Matsuno Hiroki
