製作,田中友幸,Producer,Tanaka Tomoyuki
,角田健一郎,,Tsunoda Ken’ichirô
,,,
構成,八住利雄,Organization,Yasumi Toshio
脚本,木村武,Screenplay,Kimura Takeshi
,関沢新一,,Sekizawa Shin’ichi
,,,
撮影,斎藤孝雄,Photography,Saitô Takao
美術,北猛夫,Art,Kita Takeo
録音,渡会伸,Recording,Watarai Shin
照明,隠田紀一,Lighting,Onda Kiichi
音楽,佐藤勝,Music,Satô Masaru
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,竹林進,Assistant Director,Takebayashi Susumu
編集,黒岩義民,Editing,Kuroiwa Yoshitami
舞踏構成,山本紫朗,Dance Organization,Yamamoto Shirô
衣裳デザイン,真木小太郎,Costume Design,Maki Kotarô
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,根津博,Production Manager,Nezu Hiroshi
,,,
特殊技術,,Special Technology,
撮影,有川貞昌,Photography,Arikawa Sadamasa
,富岡素敬,,Tomioka Mototaka
光学撮影,真野田幸雄,Optical Photography,Manoda Yukio
,徳政義行,,Tokumasa Yoshiyuki
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirô
合成,向山宏,Composition,Mukôyama Hiroshi
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
製作担当者,小池忠司,Production Manager,Koike Tadashi
,,,
出演者,,Performers,
,,,
,三船敏郎,,Mifune Toshirô
,,,
,佐藤允,,Satô Makoto
,有島一郎,,Arishima Ichirô
,,,
,草笛光子,,Kusabue Mitsuko
,浜美枝,,Hama Mie
,若林映子,,Wakabayashi Akiko
,水野久美,,Mizuno Kumi
,,,
,中丸忠雄,,Nakamaru Tadao
,田崎潤,,Tazaki Jun
,船戸順,,Funato Jun
,天本英世,,Amamoto Hideyo
,志村喬,,Shimura Takashi
,,,
,砂塚秀夫,,Sunazuka Hideo
,二瓶正也,,Nihei Masanari
,大木正司,,Ôki Shôji
,中山豊,,Nakayama Yutaka
,小杉義男,,Kosugi Yoshio
,富田仲次郎,,Tomita Nakajirô
,,,
,中村哲,,Nakamura Tetsu
,桐野洋雄,,Kirino Nadao
,草川直也,,Kusakawa Naoya
,向井淳一郎,,Mukai Jun’ichirô
,堤康久,,Tsutsumi Yasuhisa
,野村浩三,,Nomura Kôzô
,長谷川弘,,Hasegawa Hiroshi
,金栄珠,,Kim Yong Ju
,,,
,鈴木治夫,,Suzuki Haruo
,芝木優子,,Shibaki Yûko
,古川緑九,,Furukawa Midorikyû
,島田彰,,Shimada Akira
,田辺和佳子,,Tanabe Wakako
,伊吹新,,Ibuki Shin
,池田生二,,Ikeda Seiji
殺陣,久世竜,Swordmaster,Kuze Ryû
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,谷口千吉,Director,Taniguchi Senkichi
