製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,新藤兼人,Screenplay,Shindô Kaneto
,,,
特別スタッフ,竹内均（東大教授）,Special Staff,"Takeuchi Hitoshi (Professor, University of Tokyo)"
,大崎順彦（東大教授）,,"Ôsaki Yorihiko (Professor, University of Tokyo)"
,諏訪彰（前気象庁地震観測部員）,,Suwa Akira (Formerly Meteorological Agency Seismic Observatory)
,,,
製作補,高井英幸,Assistant Producer,Takai Hideyuki
,,,
撮影,西垣六郎,Photography,Nishigaki Rokurô
美術,阿久根巌,Art,Akune Iwao
,,,
録音,林頴四郎,Recording,Hayashi Eishirô
照明,小島真二,Lighting,Kojima Shinji
,,,
音楽,津島利章,Music,Tsushima Toshiaki
サントラ盤,テイチクレコード,Soundtrack Label,Teichiku Records
,,,
主題歌,「アメジスト・サンレイ」,Theme Song,“Amethyst Sunray”
作詞,喜多條忠,Lyrics,Kitajô Tadashi
作曲,平尾昌晃,Composition,Hirao Masaaki
編曲,矢野立美,Arrangement,Yano Tatsumi
唄,しばたはつみ,Vocals,Shibata Hatsumi
,コロムビアレコード,,Columbia Records
,,,
監督助手,奈良正博,Assistant Director,Nara Masahiro
編集,小川信夫,Editing,Ogawa Nobuo
スチール,石月美徳,Still Photography,Ishizuki Yoshinori
アクション・アドバイザー,風間健,Action Advisor,Kazama Ken
,,,
協力,三立製菓株式会社,Cooperation,"Sanritsu Confectionary Co., Ltd."
,MAZDA,,Mazda
,,,
協力,「大地震」(プレジデント社・刊)の著者＝グループ915,Cooperation,Authors of “Great Earthquake” (President Publishing) = Group 915
,小板橋二郎,,Koitabashi Jirô
,真鍋繁樹,,Manabe Shigeki
,千葉仁志,,Chiba Hitoshi
,,,
整音,東宝録音センター,Dubbing,Toho Recording Center
効果,東宝効果集団,Effects,Toho Effects Group
現像,東京現像所,Developing,Tokyo Laboratory
,,,
水中協力,オセアノフィルムセンター,Underwater Cooperation,Oceano Film Center
資料協力,NHK,Document Cooperation,NHK
,,,
製作担当者,森知貴秀,Production Manager,Morichi Takahide
,,,
,PANAVISION,,Panavision
,,,
特殊技術,,Special Technology,
撮影,山本武,Photography,Yamamoto Takeshi
,長谷川光広,,Hasegawa Mitsuhiro
美術,井上泰幸,Art,Inoue Yasuyuki
照明,森本正邦,Lighting,Morimoto Masakuni
作画,塚田猛昭,Drawing,Tsukada Takeaki
監督助手,浅田英一,Assistant Director,Asada Eiichi
光学撮影,宮西武史,Optical Photography,Miyanishi Takeshi
特殊効果,渡辺忠昭,Special Effects,Watanabe Tadaaki
,,,
製作担当者,篠田啓助,Production Manager,Shinoda Keisuke
,,,
出演者,,Performers,
,,,
,勝野洋,,Katsuno Hiroshi
,,,
,永島敏行,,Nagashima Toshiyuki
,,,
,多岐川裕美,,Takigawa Yumi
,,,
,松尾嘉代,,Matsuo Kayo
,,,
,松原千明,,Matsubara Chiaki
,佐藤慶,,Satô Kei
,,,
,松村達雄,,Matsumura Tatsuo
,村瀬幸子,,Murase Sachiko
,,,
,鈴木瑞穂,,Suzuki Mizuho
,滝田裕介,,Takita Yûsuke
,,,
,小林トシ江,,Kobayashi Toshie
,草野大悟,,Kusano Daigo
,伊藤敏孝,,Itô Toshitaka
,,,
,稲葉義男,,Inaba Yoshio
,加藤和夫,,Katô Kazuo
,浜田寅彦,,Hamada Torahiko
,草薙幸二郎,,Kusanagi Kôjirô
,山本清,,Yamamoto Kiyoshi
,永井玄哉,,Nagai Gen’ya
,早川純一,,Hayakawa Jun’ichi
,児玉泰次,,Kodama Taiji
,加地健太郎,,Kaji Kentarô
,木村四郎,,Kimura Shirô
,村尾幸三,,Murao Kôzô
,松田洋治,,Matsuda Yôji
,,,
,三木のり平,,Miki Norihei
,,,
,岡田英次,,Okada Eiji
,,,
,大滝秀治,,Ôtaki Hideji
,,,
,山崎努（特別出演）,,Yamazaki Tsutomu (Special Appearance)
,,,
,佐分利信,,Saburi Shin
,,,
特技監督,中野昭慶,Special Effects Director,Nakano Teruyoshi
,,,
監督,大森健次郎,Director,Ômori Kenjirô
