製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原案,星新一,Story,Hoshi Shin’ichi
,福島正実,,Fukushima Masami
,ウイリアム・ホープ・ホジスン『闇の声』より,,From William Hope Hodgson’s “A Voice in the Night”
脚本,木村武,Screenplay,Kimura Takeshi
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,育野重一,Art,Ikuno Shigekazu
録音,矢野口文雄,Recording,Yanoguchi Fumio
照明,小島正七,Lighting,Kojima Shôshichi
音楽,別宮貞雄,Music,Bekku Sadao
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,梶田興治,Assistant Director,Kajita Kôji
編集,兼子玲子,Editing,Kaneko Reiko
音響効果,金山実,Sound Effects,Kanayama Minoru
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,中村茂,Production Manager,Nakamura Shigeru
,,,
特殊技術,,Special Technology,
撮影,有川貞昌,Photography,Arikawa Sadamasa
,富岡素敬,,Tomioka Mototaka
光学撮影,真野田幸雄,Optical Photography,Manoda Yukio
,徳政義行,,Tokumasa Yoshiyuki
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirô
合成,向山宏,Composition,Mukôyama Hiroshi
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
製作担当者,小池忠司,Production Manager,Koike Tadashi
,,,
出演者,,Performers,
,,,
,久保明,,Kubo Akira
,水野久美,,Mizuno Kumi
,,,
,小泉博,,Koizumi Hiroshi
,佐原健二,,Sahara Kenji
,太刀川寛,,Tachikawa Hiroshi
,,,
,土屋嘉男,,Tsuchiya Yoshio
,八代美紀,,Yashiro Miki
,天本英世,,Amamoto Hideyo
,,,
,熊谷二良,,Kumagai Jirô
,草間璋夫,,Kusama Akio
,岡豊,,Oka Yutaka
,山田圭介,,Yamada Keisuke
,日方一夫,,Hinata Kazuo
,手塚勝巳,,Tezuka Katsumi
,,,
,中島春雄,,Nakajima Haruo
,大川時生,,Ôkawa Tokio
,宇留木耕嗣,,Uruki Kôji
,篠原正記,,Shinohara Masaki
,鹿島邦義,,Kashima Kuniyoshi
,伊原徳,,Ihara Toku
,林光子,,Hayashi Mitsuko
,一万慈鶴恵,,Ichimanji Tsurue
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
