製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,中村真一郎,Original Work,Nakamura Shin’ichirô
,福永武彦,,Fukunaga Takehiko
,堀田善衛,,Hotta Yoshie
,『週刊朝日』斫載,,Published in “Asahi Weekly”
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,北猛夫,Art,Kita Takeo
,安倍輝明,,Abe Teruaki
録音,藤縄正一,Recording,Fujinawa Shôichi
,宮崎正信,,Miyazaki Masanobu
照明,高島利雄,Lighting,Takashima Toshio
,,,
音楽,古関裕而,Music,Koseki Yûji
挿入歌,キングレコード,Insert Song,King Records
『インファントの娘』,,“Infant’s Daughter”,
作詞/作曲,池すすむ,Lyrics/Composition,Ike Susumu
唄,ザ・ピーナッツ,Vocals,The Peanuts
振付,県洋二,Choreography,Ken Yôji
,,,
監督助手,野長瀬三摩地,Assistant Director,Nonagase Samaji
編集,平一二,Editing,Taira Kazuji
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,森田信,Production Manager,Morita Shin
,,,
特殊技術,,Special Technology,
撮影,有川貞昌,Photography,Arikawa Sadamasa
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirô
作画合成,向山宏,Drawing Composition,Mukôyama Hiroshi
光学撮影,真野田幸雄,Optical Photography,Manoda Yukio
製作担当者,成田貫,Production Manager,Narita Kan
,,,
出演者,,Performers,
,,,
,フランキー堺,,Frankie Sakai
,小泉博,,Koizumi Hiroshi
,香川京子,,Kagawa Kyôko
,,,
ザ・ピーナッツ,伊藤ユミ,The Peanuts,Itô Yumi
,伊藤エミ,,Itô Emi
,ジェリー・伊藤,,Jerry Itô
,上原謙,,Uehara Ken
,,,
,平田昭彦,,Hirata Akihiko
,佐原健二,,Sahara Kenji
,河津清三郎,,Kawazu Seizaburô
,志村喬,,Shimura Takashi
,,,
,小杉義男,,Kosugi Yoshio
,田島義文,,Tajima Yoshibumi
,山本廉,,Yamamoto Ren
,加藤春哉,,Katô Haruya
,三島耕,,Mishima Kô
,中村哲,,Nakamura Tetsu
,,,
,広瀬正一,,Hirose Shôichi
,桜井巨郎,,Sakurai Girô
,高木弘,,Takagi Hiroshi
,堤康久,,Tsutsumi Yasuhisa
,三田照子,,Mita Teruko
,岩本弘司,,Iwamoto Kôji
,津田光男,,Tsuda Mitsuo
,田山雅充,,Tayama Masamitsu
,三浦敏男,,Miura Toshio
,岡部正,,Okabe Tadashi
,若松明,,Wakamatsu Akira
,中山豊,,Nakayama Yutaka
,,,
,ジョニイ・ユセフ,,Johnny Yusef
,オーベル・ワイアット,,Obel Wyatt
,ハロルド・コンウェイ,,Harold Conway
,ロバート・ダンハム,,Robert Dunham
,山田彰,,Yamada Akira
,宇野晃司,,Uno Kôji
,大前亘,,Ômae Wataru
,古田俊彦,,Furuta Toshihiko
,松山恵介,,Matsuyama Keisuke
,上村幸之,,Uemura Yoshiyuki
,手塚勝己,,Tezuka Katsumi
,長島武夫,,Nagashima Takeo
,,,
,松本光男,,Matsumoto Mitsuo
,三井紳平,,Mitsui Shinpei
,日方一夫,,Hinata Kazuo
,加藤茂雄,,Katô Shigeo
,緒方燐作,,Ogata Rinsaku
,岡豊,,Oka Yutaka
,速水洸,,Hayami Kô
,佐竹弘行,,Satake Hiroyuki
,今井和雄,,Imai Kazuo
,勝部義夫,,Katsube Yoshio
,安芸津広,,Akitsu Hiroshi
,草間璋夫,,Kusama Akio
,中島春雄,,Nakajima Haruo
,,,
,清水良二,,Shimizu Ryôji
,細川隆一,,Hosokawa Ryûichi
,夏木順平,,Natsuki Junpei
,須田準之助,,Suda Jun’nosuke
,伊原徳,,Ihara Toku
,関田裕,,Sekita Hiroshi
,吉頂寺晃,,Kitchôji Akira
,橘正晃,,Tachibana Masaaki
,中野トシ子,,Nakano Toshiko
,一万慈鶴恵,,Ichimanji Tsurue
,酒井達夫,,Sakai Tatsuo
,山田奈々子,,Yamada Nanako
,日劇ダンシングチーム,,Nichigeki Dancing Team
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
