製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,丘美丈二郎,Original Work,Okami Jôjirô
潤色,香山滋,Adaptation,Kayama Shigeru
脚本,木村武,Screenplay,Kimura Takeshi
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,安倍輝明,Art,Abe Teruaki
録音,宮崎正信,Recording,Miyazaki Masanobu
照明,岸田九一郎,Lighting,Kishida Kuichirô
音楽,伊福部昭,Music,Ifukube Akira
,,,
監督助手,梶田興治,Assistant Director,Kajita Kôji
音響効果,三縄一郎,Sound Effects,Minawa Ichirô
編集,岩下広一,Editing,Iwashita Hirokazu
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,坂本泰明,Production Manager,Sakamoto Yasuaki
,,,
特殊技術,,Special Technology,
撮影,荒木秀三郎,Photography,Araki Hidesaburô
,有川貞昌,,Arikawa Sadamasa
美術,渡辺明,Art,Watanabe Akira
照明,城田正雄,Lighting,Shirota Masao
合成,向山宏,Composition,Mukôyama Hiroshi
,,,
出演者,,Performers,
,,,
,佐原健二,,Sahara Kenji
,白川由美,,Shirakawa Yumi
,河内桃子,,Kouchi Momoko
,平田昭彦,,Hirata Akihiko
,,,
,志村喬,,Shimura Takashi
,藤田進,,Fujita Susumu
,伊藤久哉,,Itô Hisaya
,小杉義男,,Kosugi Yoshio
,村上冬樹,,Murakami Fuyuki
,土屋嘉男,,Tsuchiya Yoshio
,,,
,山田巳之助,,Yamada Minosuke
,中村哲,,Nakamura Tetsu
,大川平八郎,,Ôkawa Heihachirô
,笈川武夫,,Oikawa Takeo
,加藤春哉,,Katô Haruya
,大村千吉,,Ômura Senkichi
,佐田豊,,Sada Yutaka
,三原秀夫,,Mihara Hideo
,,,
,三條利喜江,,Sanjô Rikie
,生方壮児,,Ubukata Sôji
,津田光男,,Tsuda Mitsuo
,今泉廉,,Imaizumi Ren
,大友伸,,Ôtomo Shin
,熊谷二良,,Kumagai Jirô
,草間璋夫,,Kusama Akio
,広瀬正一,,Hirose Shôichi
,,,
,中丸忠雄,,Nakamaru Tadao
,坪野鎌之,,Tsubono Kamayuki
,緒方燐作,,Ogata Rinsaku
,重信安宏,,Shigenobu Yasuhiro
,ジョージ・ファーネス,,George Furness
,ハロルド・エス・コンウェイ,,Harold S. Conway
,中島春雄,,Nakajima Haruo
,手塚勝巳,,Tezuka Katsumi
,,,
特技監督,圓谷英二,Special Effects Director,Tsumuraya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
