企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,犬塚稔,Screenplay,Inuzuka Minoru
,梅林貴久夫,,Umebayashi Kikuo
,,,
撮影,牧浦地志,Photography,Makiura Chikashi
録音,大角正夫,Recording,Ôsumi Masao
照明,古谷賢次,Lighting,Furuya Kenji
美術,太田誠一,Art,Ôta Seiichi
音楽,伊福部昭,Music,Ifukube Akira
,,,
編集,山田弘,Editing,Yamada Hiroshi
装置,山本佐一郎,Apparatus,Yamamoto Saichirô
擬斗,宮内昌平,Action,Miyauchi Shôhei
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
助監督,土井茂,Assistant Director,Doi Shigeru
製作主任,吉岡徹,Production Manager,Yoshioka Tôru
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,坪内ミキ子,,Tsubouchi Mikiko
,近藤美恵子,,Kondô Mieko
,真城千都世,,Maki Chitose
,河津清三郎,,Kawazu Seizaburô
,,,
,丹羽又三郎,,Niwa Matasaburô
,中村豊,,Nakamura Yutaka
,須賀不二男,,Suga Fujio
,遠藤辰雄,,Endô Tatsuo
,舟木洋一,,Funaki Yôichi
,水原浩一,,Mizuhara Kôichi
,杉山昌三九,,Sugiyama Shôsaku
,,,
,伊達三郎,,Date Saburô
,南條新太郎,,Nanjô Shintarô
,武智豊子,,Takechi Toyoko
,南部彰三,,Nanbu Shôzô
,東良之助,,Azuma Ryônosuke
,尾上栄五郎,,Onoe Eigorô
,高倉一郎,,Takakura Ichirô
,玉置一恵,,Tamaki Kazue
,,,
,浜田雄史,,Hamada Yûji
,沖時男,,Oki Tokio
,春日清,,Kasuga Kiyoshi
,細谷新吾,,Hosoya Shingo
,藤川準,,Fujikawa Jun
,福井隆次,,Fukui Ryûji
,志賀明,,Shiga Akira
,木村玄,,Kimura Gen
,高森チズ子,,Takamori Chizuko
,,,
監督,田中徳三,Director,Tanaka Tokuzô
