製作,永田雅一,Producer,Nagata Masaichi
,,,
企画,奥田久司,Planning,Okuda Hisashi
脚本,吉田哲郎,Screenplay,Yoshida Tetsurô
,,,
撮影,森田富士郎,Photography,Morita Fujio
,田中省三,,Tanaka Shôzô
録音,大角正夫,Recording,Ôsumi Masao
照明,美間博,Lighting,Mima Hiroshi
,古谷賢次,,Furuya Kenji
美術,内藤昭,Art,Naitô Akira
,加藤茂,,Katô Shigeru
音楽,伊福部昭,Music,Ifukube Akira
,,,
編集,菅沼完二,Editing,Suganuma Kanji
特撮合成,田中貞造,Special Effects Composition,Tanaka Teizô
作画,渡辺善夫,Drawing,Watanabe Yoshio
擬斗,宮内昌平,Action,Miyauchi Shôhei
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
助監督,西沢鋭治,Assistant Director,Nishizawa Eiji
製作主任,今村喬,Production Manager,Imamura Takashi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,本郷功次郎,,Hongô Kôjirô
,藤村志保,,Fujimura Shiho
,,,
,丸井太郎,,Marui Tarô
,北城寿太郎,,Hôjô Jutarô
,上野山功一,,Uenoyama Kôichi
,内田朝雄,,Uchida Asao
,橋本力,,Hashimoto Riki
,神田隆,,Kanda Takashi
,,,
,平泉征,,Hiraizumi Sei
,藤山浩二,,Fujiyama Kôji
,水原浩一,,Mizuhara Kôichi
,高杉玄,,Takasugi Gen
,神戸瓢介,,Kanbe Hyôsuke
,寺島雄作,,Terashima Yûsaku
,橘公子,,Tachibana Kimiko
,,,
,浜田雅史,,Hamada Masashi
,黒木英男,,Kuroki Hideo
,松田剛武,,Matsuda Taketake
,伊東義高,,Itô Yoshitaka
,岩田正,,Iwata Tadashi
,伴勇太郎,,Ban Yûtarô
,加賀爪清和,,Kagatsume Seiwa
,三木本賀代,,Mikimoto Kayo
,小柳圭子,,Koyanagi Keiko
,,,
監督,三隅研次,Director,Misumi Kenji
特撮監督,黒田義之,Special Effects Director,Kuroda Yoshiyuki
