製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
原作,黒沼健,Original Work,Kuronuma Ken
脚本,村田武雄,Screenplay,Murata Takeo
,木村武,,Kimura Takeshi
,,,
撮影,芦田勇,Photography,Ashida Isamu
美術,北辰雄,Art,Kita Tatsuo
録音,宮崎正信,Recording,Miyazaki Masanobu
照明,森茂,Lighting,Mori Shigeru
音楽,伊福部昭,Music,Ifukube Akira
,,,
特技監督,圓谷英二,Special Effects Director,Tsumuraya Eiji
,渡辺明,,Watanabe Akira
,城田正雄,,Shirota Masao
,向山宏,,Mukôyama Hiroshi
,坂本泰明,,Sakamoto Yasuaki
,,,
監督助手,福田純,Assistant Director,Fukuda Jun
編集,岩下広一,Editing,Iwashita Hirokazu
音響効果,三縄一郎,Sound Effects,Minawa Ichirô
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,真木照夫,Production Manager,Maki Teruo
,,,
出演者,,Performers,
,,,
,佐原健二,,Sahara Kenji
,白川由美,,Shirakawa Yumi
,小堀明男,,Kobori Akio
,,,
,平田昭彦,,Hirata Akihiko
,村上冬樹,,Murakami Fuyuki
,中田康子,,Nakada Yasuko
,山田巳之助,,Yamada Minosuke
,田島義文,,Tajima Yoshibumi
,,,
,水の也清美,,Mizunoya Kiyomi
,松尾文人,,Matsuo Fumindo
,如月寛多,,Kisaragi Kanta
,草間璋夫,,Kusama Akio
,河崎堅男,,Kawasaki Tateo
,高木清,,Takagi Kiyoshi
,三原秀夫,,Mihara Hideo
,,,
,今泉廉,,Imaizumi Ren
,中谷一郎,,Nakatani Ichirô
,大仲清二,,Ônaka Seiji
,鈴川二郎,,Suzukawa Jirô
,緒方燐作,,Ogata Rinsaku
,榊田敬二,,Sakakida Keiji
,熊谷二良,,Kumagai Jirô
,千葉一郎,,Chiba Ichirô
,向井淳一郎,,Mukai Jun’ichirô
,津田光男,,Tsuda Mitsuo
,,,
,馬野都留子,,Mano Tsuruko
,一万慈鶴恵,,Ichimanji Tsurue
,中野俊子,,Nakano Toshiko
,黒岩小枝子,,Kuroiwa Saeko
,広瀬正一,,Hirose Shôichi
,勝本圭一郎,,Katsumoto Keiichirô
,門脇三郎,,Kadowaki Saburô
,松本光男,,Matsumoto Mitsuo
,宇野晃司,,Uno Kôji
,岡部正,,Okabe Tadashi
,,,
,岡豊,,Oka Yutaka
,日方一夫,,Hinata Kazuo
,山田彰,,Yamada Akira
,砂川繁視,,Sunakawa Shigemi
,平凡太郎,,Taira Bontarô
,橘正晃,,Tachibana Masaaki
,須田準之助,,Suda Jun’nosuke
,吉田新,,Yoshida Shin
,重信安宏,,Shigenobu Yasuhiro
,堤康久,,Tsutsumi Yasuhisa
,,,
,海上日出男,,Unagami Hideo
,成田孝,,Narita Takashi
,鈴木孝次,,Suzuki Kôji
,坂本晴哉,,Sakamoto Haruya
,大西康雄,,Ônishi Yasuo
,坪野鎌之,,Tsubono Kamayuki
,仙石正夫,,Sengoku Masao
,福田和郎,,Fukuda Kazuo
,澁谷英男,,Shibuya Hideo
,鈴木治夫,,Suzuki Haruo
,,,
,茨田正夫,,Barata Masao
,岩本弘司,,Iwamoto Kôji
,越後憲三,,Echigo Kenzô
,小野実,,Ono Minoru
,河辺昌義,,Kawabe Masayoshi
,手塚克巳,,Tezuka Katsumi
,中島春雄,,Nakajima Haruo
,大川時生,,Ôkawa Tokio
,,,
監督,本多猪四郎,Director,Honda Ishirô
