原作,吉川英治,Original Work,Yoshikawa Eiji
,,,
製作,滝村和男,Producer,Takimura Kazuo
,,,
劇化,北條秀司,Dramatization,Hôjô Hideji
脚本,若尾徳平,Screenplay,Wakao Tokuhei
,稲垣浩,,Inagaki Hiroshi
,,,
撮影,安本淳,Photography,Yasumoto Jun
美術監督,伊藤熹朔,Art Director,Itô Kisaku
美術,園真,Art,Sono Makoto
録音,三上長七郎,Recording,Mikami Chôshichirô
照明,森茂,Lighting,Mori Shigeru
音楽,團伊玖磨,Music,Dan Ikuma
,,,
監督助手,福田純,Assistant Director,Fukuda Jun
編集,大井英史,Editing,Ôi Hidefumi
特殊技術,東宝技術部,Special Technology,Toho Engineering Department
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,菅英久,Production Manager,Suga Hidehisa
,,,
出演者,,Performers,
,,,
武蔵,三船敏郎,Musashi,Mifune Toshirô
沢庵,尾上九朗右衛門,Takuan,Onoue Kurouemon
又八,三國連太郎,Matahachi,Mikuni Rentarô
,,,
お通,八千草薫,Otsû,Yachigusa Kaoru
お甲,水戸光子,Okô,Mito Mitsuko
朱実,岡田茉莉子,Akemi,Okada Mariko
,,,
,三好栄子,,Miyoshi Eiko
,平田昭彦,,Hirata Akihiko
,阿部九州男,,Abe Kusuo
,小杉義男,,Kosugi Yoshio
,加東大介,,Katô Daisuke
,小澤栄,,Ozawa Sakae
観世流能楽 猩々,山階信弘,Kanzeryû Music Group,Yamashina Nobuhiro
,,,
,上山草人,,Kamiyama Sôjin
,谷晃,,Tani Akira
,如月寛多,,Kisaragi Kanta
,松尾文人,,Matsuo Fumindo
,大久保正信,,Ôkubo Masanobu
,増田正雄,,Masuda Masao
,桜井美智夫,,Sakurai Michio
,恩田清二郎,,Onda Seijirô
,,,
監督,稲垣浩,Director,Inagaki Hiroshi
