製作,田中友幸,Producer,Tanaka Tomoyuki
,菊島隆三,,Kikushima Ryûzô
,,,
,山本周五郎作 『日々平安』より,,From Yamamoto Shûgorô’s Work “Everyday Peace”
脚本,菊島隆三,Screenplay,Kikushima Ryûzô
,小国英雄,,Oguni Hideo
,黒澤明,,Kurosawa Akira
,,,
撮影,小泉福造,Photography,Koizumi Fukuzô
,斎藤孝雄,,Saitô Takao
美術,村木与四郎,Art,Muraki Yoshirô
録音,小沼渡,Recording,Onuma Wataru
照明,猪原一郎,Lighting,Inohara Ichirô
音楽,佐藤勝,Music,Satô Masaru
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,森谷司郎,Assistant Director,Moritani Shirô
現像,キヌタ・ラボラトリー,Developing,Kinuta Laboratory
製作担当者,根津博,Production Manager,Nezu Hiroshi
,,,
出演者,,Performers,
,,,
,三船敏郎,,Mifune Toshirô
,,,
,仲代達矢,,Nakadai Tatsuya
,小林桂樹,,Kobayashi Keiju
,,,
,加山雄三,,Kayama Yûzô
,団令子,,Dan Reiko
,,,
,志村喬,,Shimura Takashi
,藤原釜足,,Fujiwara Kamatari
,入江たか子,,Irie Takako
,清水将夫,,Shimizu Masao
,伊藤雄之助,,Itô Yûnosuke
,,,
,久保明,,Kubo Akira
,太刀川寛,,Tachikawa Hiroshi
,土屋嘉男,,Tsuchiya Yoshio
,田中邦衛,,Tanaka Kunie
,江原達怡,,Ehara Tatsuyoshi
,平田昭彦,,Hirata Akihiko
,,,
,小川虎之助,,Ogawa Toranosuke
,堺左千夫,,Sakai Sachio
,松井鍵三,,Matsui Kenzô
,樋口年子,,Higuchi Toshiko
,波里達彦,,Hari Teruhiko
,佐田豊,,Sada Yutaka
,清水元,,Shimizu Gen
,,,
,大友伸,,Ôtomo Shin
,広瀬正一,,Hirose Shôichi
,伊藤実,,Itô Minoru
,宇留耕司,,Ujito Kôji
,山口博義,,Yamaguchi Hiroyoshi
,大橋史典,,Ôhashi Fuminori
剣技指導,久世竜,Swordsmanship Instruction,Kuze Ryû
,,,
監督,黒澤明,Director,Kurosawa Akira
