製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,,,
撮影,山田一夫,Photography,Yamada Kazuo
美術,浜上兵衛,Art,Hamagami Kyôe
録音,西川善男,Recording,Nishikawa Yoshio
,宮崎正信,,Miyazaki Masanobu
照明,西川鶴三,Lighting,Nishikawa Tsuruzô
音楽,池野成,Music,Ikeno Sei
,,,
特殊技術,,Special Technology,
光学撮影,荒木秀三郎,Optical Photography,Araki Hidesaburô
撮影,有川貞昌,Photography,Arikawa Sadamasa
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirô
作画合成,向山宏,Drawing Composition,Mukôyama Hiroshi
,,,
監督助手,長野卓,Assistant Director,Nagano Takashi
編集,平一二,Editing,Taira Kazuji
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,森本朴,Production Manager,Morimoto Paku
,,,
出演者,,Performers,
,,,
,鶴田浩二,,Tsuruta Kôji
,白川由美,,Shirakawa Yumi
,,,
,河津清三郎,,Kawazu Seizaburô
,土屋嘉男,,Tsuchiya Yoshio
,中丸忠雄,,Nakamaru Tadao
,平田昭彦,,Hirata Akihiko
,,,
,佐々木孝丸,,Sasaki Takamaru
,田島義文,,Tajima Yoshibumi
,村上冬樹,,Murakami Fuyuki
,沢村いき雄,,Sawamura Ikio
,堺左千夫,,Sakai Sachio
,,,
,大友伸,,Ôtomo Shin
,山本廉,,Yamamoto Ren
,松尾文人,,Matsuo Fumindo
,水の也清美,,Mizunoya Kiyomi
,馬野都畄子,,Mano Tsukiko
,大村千吉,,Ômura Senkichi
,佐田豊,,Sada Yutaka
,瀬良明,,Sera Akira
,,,
,天本英世,,Amamoto Hideyo
,広瀬正一,,Hirose Shôichi
,桐野洋雄,,Kirino Nadao
,土屋詩朗,,Tsuchiya Shirô
,熊谷二良,,Kumagai Jirô
,岩本弘司,,Iwamoto Kôji
,岡部正,,Okabe Tadashi
,中山豊,,Nakayama Yutaka
,宇野晃司,,Uno Kôji
,松村達雄,,Matsumura Tatsuo
,堤康久,,Tsutsumi Yasuhisa
,桜井巨郎,,Sakurai Girô
,,,
,小西瑠美,,Konishi Rumi
,北野明,,Kitano Akira
,三浦敏男,,Miura Toshio
,西條康彦,,Saijô Yasuhiko
,上野明美,,Ueno Akemi
,樋口年子,,Higuchi Toshiko
,重信安宏,,Shigenobu Yasuhiro
,土屋靖雄,,Tsuchiya Yasuo
,向井淳一郎,,Mukai Jun’ichirô
,松本光男,,Matsumoto Mitsuo
,澁谷英男,,Shibuya Hideo
,上村幸之,,Uemura Yoshiyuki
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,福田純,Director,Fukuda Jun
