製作,本木荘二郎,Producer,Motoki Sôjirô
,,,
脚本,黒澤明,Screenplay,Kurosawa Akira
,橋本忍,,Hashimoto Shinobu
,小国英雄,,Oguni Hideo
,,,
撮影,中井朝一,Photography,Nakai Asakazu
美術,松山崇,Art,Matsuyama Takashi
照明,森茂,Lighting,Mori Shigeru
録音,矢野口文雄,Recording,Yanoguchi Fumio
,,,
音楽,早坂文雄,Music,Hayasaka Fumio
,,,
美術考証,江崎孝坪,Concept Art,Ezaki Kôhei
剣術指導,杉野嘉男 (日本古武道振興会),Swordsmanship Instruction,Sugino Yoshio (Japan Kobudo Promotion Organization)
流鏑馬指導,金子家教 (日本弓馬会範士),Horsemanship Instruction,Kaneko Kakyô (Japan Horse Parliament)
,遠藤茂 (日本弓馬会教士),,Endô Shigeru (Japan Horse Parliament)
,,,
監督助手,堀川弘通,Assistant Director,Horikawa Hiromichi
粧髪,山田順三郎,Makeup,Yamada Junzaburô
現像,東宝現像所,Developing,Toho Laboratory
製作担当者,根津博,Production Manager,Nezu Hiroshi
,,,
出演者,,Performers,
,,,
,三船敏郎,,Mifune Toshirô
,志村喬,,Shimura Takashi
,,,
,津島恵子,,Tsushima Keiko
,島崎雪子,,Shimazaki Yukiko
,,,
,藤原釜足,,Fujiwara Kamatari
,加東大介,,Katô Daisuke
,木村功,,Kimura Isao
,千秋実,,Chiaki Minoru
,宮口精二,,Miyaguchi Seiji
,,,
,小杉義男,,Kosugi Yoshio
,左卜全,,Hidari Bokuzen
,稲葉義男,,Inaba Yoshio
,土屋嘉男,,Tsuchiya Yoshio
,高堂國典,,Kôdô Kuninori
,,,
,東野英治郎,,Tôno Eijirô
,上田吉二郎,,Ueda Kichijirô
,多々良純,,Tatara Jun
,渡辺篤,,Watanabe Atsushi
,小川虎之助,,Ogawa Toranosuke
,山形勲,,Yamagata Isao
,,,
,上山草人,,Kamiyama Sôjin
,清水元,,Shimizu Gen
,榊田敬二,,Sakakida Keiji
,高木新平,,Takagi Shinpei
,大友伸,,Ôtomo Shin
,高原駿雄,,Takahara Toshio
,,,
,杉寛,,Sugi Kan
,林幹,,Hayashi Kan
,堺左千夫,,Sakai Sachio
,牧壮吉,,Maki Sôkichi
,千葉一郎,,Chiba Ichirô
,千石規子,,Sengoku Noriko
,本間文子,,Honma Noriko
,,,
,大久保正信,,Ôkubo Masanobu
,西條悦郎,,Saijô Etsurô
,伊藤実,,Itô Minoru
,坂本晴哉,,Sakamoto Haruya
,桜井巨郎,,Sakurai Girô
,渋谷英男,,Shibuya Hideo
,鴨田清,,Kimata Kiyoshi
,大村千吉,,Ômura Senkichi
,,,
,成田孝,,Narita Takashi
,廣瀨正一,,Hirose Shôichi
,宇野晃司,,Uno Kôji
,橘正晃,,Tachibana Masaaki
,坪野鎌之,,Tsubono Kamayuki
,中恭二,,Naka Kyôji
,宮川珍男児,,Miyagawa Sandanji
,砂川繁視,,Sunakawa Shigemi
,,,
,谷晃,,Tani Akira
,草間璋夫,,Kusama Akio
,天見竜太郎 ,,Amami Ryûtarô
,三上淳,,Mikami Jun
,中島春雄,,Nakajima Haruo
,峰三平,,Mine Sanpei
,松下正秀,,Matsushita Masahide
,池田兼雄,,Ikeda Kaneo
,,,
,熊谷二良,,Kumagai Jirô
,川越一平,,Kawagoe Ippei
,鈴川二郎,,Suzukawa Jirô
,夏木順平,,Natsuki Junpei
,神山恭一,,Kamiyama Kyôichi
,鈴木治夫,,Suzuki Haruo
,天野五郎,,Amano Gorô
,吉頂寺晃,,Kitchôji Akira
,,,
,岩本弘司,,Iwamoto Kôji
,安芸津広,,Akitsu Hiroshi
,山田彰,,Yamada Akira
,今井和雄,,Imai Kazuo
,中西英介,,Nakanishi Eisuke
,伊原徳,,Ihara Toku
,大塚秀雄,,Ôtsuka Hideo
,大江秀,,Ôe Shû
,,,
,堤康久,,Tsutsumi Yasuhisa
,大西康雄,,Ônishi Yasuo
,片桐常雄,,Katagiri Tsuneo
,下田巡,,Shimoda Jun
,河辺昌義,,Kawabe Masayoshi
,加藤茂雄,,Katô Shigeo
,川又吉一,,Kawamata Yoshikazu
,関猛,,Seki Takeshi
,,,
,登山晴子,,Toyama Haruko
,馬野都留子,,Mano Tsuruko
,小野松枝,,Ono Matsue
,一万慈多鶴恵,,Ichimanji Tazue
,大城政子,,Ôshiro Masako
,小沢経子,,Ozawa Keiko
,上遠野路子,,Kamitono Michiko
,中野俊子,,Nakano Toshiko
,,,
,東静子,,Azuma Shizuko
,森啓子,,Mori Keiko
,河辺美智子,,Kawabe Michiko
,戸川夕子,,Togawa Yûko
,北野八代子,,Kitano Yayoko
,須山操,,Suyama Misao
,高原とり子,,Takahara Toriko
,劇団若草,,Wakakusa Theatrical Company
,劇団こけし座,,Kokeshiza Theatrical Company
,日本綜合芸術社,,Japan Synthetic Art Company
,,,
監督,黒澤明,Director,Kurosawa Akira
