製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,関沢新一,Screenplay,Sekizawa Shin’ichi
,斯波一絵,,Shiba Kazue
,,,
撮影,山田一夫,Photography,Yamada Kazuo
美術,北猛夫,Art,Kita Takeo
録音,渡会伸,Recording,Watarai Shin
,伴利也,,Ban Toshiya
照明,山口偉治,Lighting,Yamaguchi Takeji
,小島正七,,Kojima Shôshichi
音楽,佐藤勝,Music,Satô Masaru
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,長野卓,Assistant Director,Nagano Takashi
編集,藤井良平,Editing,Fujii Ryôhei
音響効果,金山実,Sound Effects,Kanayama Minoru
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂本泰明,Production Manager,Sakamoto Yasuaki
,,,
特殊技術,,Special Technology,
撮影,富岡素敬,Photography,Tomioka Mototaka
,真野田陽一,,Manoda Yôichi
光学撮影,徳政義行,Optical Photography,Tokumasa Yoshiyuki
美術,井上泰幸,Art,Inoue Yasuyuki
照明,原文良,Lighting,Hara Fumiyoshi
合成,向山宏,Composition,Mukôyama Hiroshi
操演,中代文雄,Physical Effects,Nakadai Fumio
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
,,,
協力,パンアメリカン航空,Cooperation,Pan American Airlines
,,,
出演者,,Performers,
,,,
,高島忠夫,,Takashima Tadao
,前田美波里,,Maeda Beverly
,久保明,,Kubo Akira
,,,
,平田昭彦,,Hirata Akihiko
,佐原健二,,Sahara Kenji
,土屋嘉男,,Tsuchiya Yoshio
,,,
,黒部進,,Kurobe Susumu
,鈴木和夫,,Suzuki Kazuo
,丸山謙一郎,,Maruyama Ken’ichirô
,久野征四郎,,Kuno Seishirô
,西條康彦,,Saijô Yasuhiko
,,,
,当銀長太郎,,Tôgin Chôtarô
,大前亘,,Ômae Wataru
,大仲清治,,Ônaka Seiji
,関田裕,,Sekita Hiroshi
,中島春雄,,Nakajima Haruo
,小人のマーチャン,,Little Man Mâchan
,,,
特技監修,円谷英二,Special Effects Supervisor,Tsuburaya Eiji
特技監督,有川貞昌,Special Effects Director,Arikawa Sadamasa
,,,
監督,福田純,Director,Fukuda Jun
