製作,田中友幸,Producer,Tanaka Tomoyuki
,田中文雄,,Tanaka Fumio
,,,
脚本,小川英,Screenplay,Ogawa Ei
,,,
撮影,完倉泰一,Photography,Kankura Taiichi
美術,北猛夫,Art,Kita Takeo
録音,増尾鼎,Recording,Masuo Kanae
照明,高島利雄,Lighting,Takashima Toshio
音楽,伊福部昭,Music,Ifukube Akira
,,,
監督助手,谷清次,Assistant Director,Tani Seiji
編集,永見正久,Editing,Nagami Masahisa
音響効果,西本定正,Sound Effects,Nishimoto Sadamasa
整音,東宝ダビング,Dubbing,Toho Dubbing
協力,東海汽船株式会社,Cooperation,"Tokai Kisen Co., Ltd."
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂井靖史,Production Manager,Sakai Yasushi
,,,
特殊技術,有川貞昌,Special Technology,Arikawa Sadamasa
撮影,真野田陽一,Photography,Manoda Yôichi
光学撮影,徳政義行,Optical Photography,Tokumasa Yoshiyuki
美術,井上泰幸,Art,Inoue Yasuyuki
照明,原文良,Lighting,Hara Fumiyoshi
操演,中代文雄,Physical Effects,Nakadai Fumio
合成,向山宏,Composition,Mukôyama Hiroshi
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
,,,
出演者,,Performers,
,,,
,久保明,,Kubo Akira
,高橋厚子,,Takahashi Atsuko
,小林夕岐子,,Kobayashi Yukiko
,,,
,佐原健二,,Sahara Kenji
,土屋嘉男,,Tsuchiya Yoshio
,中村哲,,Nakamura Tetsu
,藤木悠,,Fujiki Yû
,,,
,佐藤宜丈,,Satô Yoshitake
,杉原優子,,Sugihara Yûko
,堺左千夫,,Sakai Sachio
,当銀長太郎,,Tôgin Chôtarô
,大前亘,,Ômae Wataru
,,,
,権藤幸彦,,Gondô Yukihiko
,加藤茂雄,,Katô Shigeo
,緒方燐作,,Ogata Rinsaku
,中島春雄,,Nakajima Haruo
,中村晴吉,,Nakamura Harukichi
,,,
監督,本多猪四郎,Director,Honda Ishirô
