製作,田中友幸,Producer,Tanaka Tomoyuki
,田中文雄,,Tanaka Fumio
,,,
原作,小松左京,Original Work,Komatsu Sakyô
,光文社 カッパ・ノベルス,,Kobunsha Kappa Novels
,,,
脚本,橋本忍,Screenplay,Hashimoto Shinobu
,,,
撮影,村井博,Photography,Murai Hiroshi
,木村大作,,Kimura Daisaku
音楽,佐藤勝,Music,Satô Masaru
美術,村木与四郎,Art,Muraki Yoshirô
録音,伴利也,Recording,Ban Toshiya
照明,佐藤幸次郎,Lighting,Satô Kôjirô
,,,
監督助手,橋本幸治,Assistant Director,Hashimoto Kôji
編集,池田美千子,Editing,Ikeda Michiko
スチール,石月美徳,Still Photography,Ishizuki Yoshinori
現像,東洋現像所,Developing,Toyo Laboratory
協力,日本海洋産業株式会社,Cooperation,"Nippon Marine Industry Co., Ltd."
製作担当者,森知貴秀,Production Manager,Morichi Takahide
,,,
特殊技術,,Special Technology,
撮影,富岡素敬,Photography,Tomioka Mototaka
美術,井上泰幸,Art,Inoue Yasuyuki
照明,森本正邦,Lighting,Morimoto Masakuni
光学撮影,宮西武史,Optical Photography,Miyanishi Takeshi
合成,三瓶一信,Composition,Sanbe Kazunobu
操演,松本光司,Physical Effects,Matsumoto Kôji
,,,
監督助手,田淵吉男,Assistant Director,Tabuchi Yoshio
特殊効果,渡辺忠昭,Special Effects,Watanabe Tadaaki
スチール,田中一清,Still Photography,Tanaka Kazukiyo
整音,東宝録音センター,Dubbing,Toho Recording Center
効果,東宝効果集団,Effects,Toho Effects Group
製作担当者,篠田啓助,Production Manager,Shinoda Keisuke
,,,
特別スタッフ,竹内均 (東京大学教授),Special Staff,"Takeuchi Hitoshi (Professor, University of Tokyo)"
,奈須紀幸 (東京大学教授),,"Nasu Noriyuki (Professor, University of Tokyo)"
,大崎順彦 (東京大学教授),,"Ôsaki Yorihiko (Professor, University of Tokyo)"
,諏訪彰 (気象研究所地震研究部長),,"Suwa Akira (Director, Earthquake Research Department, Meteorological Research Institute)"
,,,
出演者,,Performers,
,,,
,小林桂樹,,Kobayashi Keiju
,,,
,丹波哲郎,,Tamba Tetsurô
,,,
,藤岡弘,,Fujioka Hiroshi
,いしだあゆみ,,Ishida Ayumi
,,,
,中丸忠雄,,Nakamaru Tadao
,夏八木勲,,Natsuyagi Isao
,角ゆり子,,Sumi Yuriko
,中村伸郎,,Nakamura Nobuo
,神山繁,,Kôyama Shigeru
,,,
,滝田裕介,,Takita Yûsuke
,加藤和夫,,Katô Kazuo
,村井国夫,,Murai Kunio
,垂水悟郎,,Tarumi Gorô
,新田昌玄,,Nitta Shôgen
,森幹太,,Mori Kanta
,高橋昌也,,Takahashi Masaya
,,,
,地井武男,,Chii Takeo
,鈴木瑞穂,,Suzuki Mizuho
,細川俊夫,,Hosokawa Toshio
,斉藤美和,,Saitô Miwa
,中条静夫,,Nakajô Shizuo
,森下哲夫,,Morishita Tetsuo
,梶哲也,,Kaji Tetsuya
,名古屋章,,Nagoya Akira
,,,
,松下達夫,,Matsushita Tatsuo
,河村弘二,,Kawamura Kôji
,近藤準,,Kondô Jun
,宮島誠,,Miyajima Makoto
,大久保正信,,Ôkubo Masanobu
,内田稔,,Uchida Minoru
,早川雄三,,Hayakawa Yûzô
,和田文夫,,Wada Fumio
,石井宏明,,Ishii Hiroaki
,稲垣昭三,,Inagaki Shôzô
,,,
,中村哲,,Nakamura Tetsu
,伊東光一,,Itô Kôichi
,斉藤英雄,,Saitô Hideo
,吉水慶,,Yoshimizu Kei
,中田勉,,Nakata Tsutomu
,大木史朗,,Ôki Shirô
,山本武,,Yamamoto Takeshi
,今井和雄,,Imai Kazuo
,鈴木治夫,,Suzuki Haruo
,田中志幸,,Tanaka Shikô
,,,
,永島岳,,Nagashima Gaku
,津田光男,,Tsuda Mitsuo
,磐木吉二郎,,Iwagi Kichijirô
,中島光之助,,Nakajima Kônosuke
,大杉雄二,,Ôsugi Yûji
,熊谷卓三,,Kumagai Takuzô
,小松英三郎,,Komatsu Eizaburô
,門脇三郎,,Kadowaki Saburô
,草間璋夫,,Kusama Akio
,大西康雅,,Ônishi Yasumasa
,,,
,服部妙子,,Hattori Taeko
,林由香,,Hayashi Yuka
,川口節子,,Kawaguchi Setsuko
,小林伊津子,,Kobayashi Itsuko
,高橋久美江,,Takahashi Kumie
,鳥居功靖,,Torii Isao
,山野辺敦,,Yamanobe Atsushi
,アンドリュウ・ヒューズ,,Andrew Hughes
,バン・ヘンリー,,Van Henry
,チャールズ・シームス,,Charles Sheems
,,,
,二谷英明,,Nitani Hideaki
,島田正吾,,Shimada Shôgo
,,,
特技監督,中野昭慶,Special Effects Director,Nakano Teruyoshi
,,,
監督,森谷司郎,Director,Moritani Shirô
