企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,犬塚稔,Screenplay,Inuzuka Minoru
,,,
撮影,牧浦地志,Photography,Makiura Chikashi
録音,大谷巌,Recording,Ôtani Iwao
照明,加藤博也,Lighting,Katô Hiroya
美術,内藤昭,Art,Naitô Akira
音楽,伊福部昭,Music,Ifukube Akira
,,,
編集,菅沼完二,Editing,Suganuma Kanji
装置,梶谷和男,Apparatus,Kajitani Kazuo
擬斗,宮内昌平,Action,Miyauchi Shôhei
邦楽,中本敏生,Traditional Music,Nakamoto Toshio
助監督,国原俊明,Assistant Director,Kunihara Toshiaki
製作主任,田辺満,Production Manager,Tanabe Mitsuru
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,万里昌代,,Banri Masayo
,,,
,島田竜三,,Shimada Ryûzô
,三田村元,,Mitamura Gen
,天知茂,,Amachi Shigeru
,南道郎,,Minami Michirô
,柳永二郎,,Yanagi Eijirô
,,,
,千葉敏郎,,Chiba Toshio
,守田学,,Morita Gaku
,山路義人,,Yamaji Yoshito
,舟木洋一,,Funaki Yôichi
,尾上栄五郎,,Onoe Eigorô
,毛利郁子,,Môri Ikuko
,真城千都世,,Maki Chitose
,,,
,市川謹也,,Ichikawa Kin’ya
,藤川準,,Fujikawa Jun
,堀北幸夫,,Horikita Yukio
,浜田雄史,,Hamada Yûji
,丸凡太,,Maru Bonta
,木村玄,,Kimura Gen
,福井隆次,,Fukui Ryûji
,越川一,,Koshikawa Ichi
,西岡弘善,,Nishioka Hiroyoshi
,小林加奈枝,,Kobayashi Kanae
,,,
,志賀明,,Shiga Akira
,愛原光一,,Aihara Kôichi
,谷口昇,,Taniguchi Noboru
,細谷新吾,,Hosoya Shingo
,千石泰三,,Sengoku Taizô
,長岡三郎,,Nagaoka Saburô
,馬場勝義,,Baba Katsuyoshi
,結城要,,Yûki Kaname
,寺村孝,,Teramura Takashi
,淡波圭子,,Awanami Keiko
,,,
監督,三隅研次,Director,Misumi Kenji
