企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,犬塚稔,Screenplay,Inuzuka Minoru
,,,
撮影,本多省三,Photography,Honda Shôzô
録音,林土太郎,Recording,Hayashi Tsuchitarô
照明,伊藤貞一,Lighting,Itô Teiichi
美術,太田誠一,Art,Ôta Seiichi
音楽,斎藤一郎,Music,Saitô Ichirô
,,,
編集,谷口孝司,Editing,Taniguchi Takashi
装置,城修,Apparatus,Jô Osamu
擬斗,宮内昌平,Action,Miyauchi Shôhei
助監督,井上昭,Assistant Director,Inoue Akira
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
製作主任,大菅実,Production Manager,Ôsuga Minoru
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,城健三朗,,Jô Kenzaburô
,,,
,水谷良重,,Mizutani Yoshie
,万里昌代,,Banri Masayo
,中村豊,,Nakamura Yutaka
,柳永二郎,,Yanagi Eijirô
,,,
,沢村宗之助,,Sawamura Sônosuke
,山路義人,,Yamaji Yoshito
,浅尾奥山,,Asao Okuyama
,春本富士夫,,Harumoto Fujio
,杉山昌三九,,Sugiyama Shôsaku
,南條新太郎,,Nanjô Shintarô
,南部彰三,,Nanbu Shôzô
,嵐三右ヱ門,,Arashi Tamiemon
,,,
,水原浩一,,Mizuhara Kôichi
,伊達三郎,,Date Saburô
,高倉一郎,,Takakura Ichirô
,玉置一恵,,Tamaki Kazue
,芝田総二,,Shibata Sôji
,沖時男,,Oki Tokio
,浜田雄史,,Hamada Yûji
,若杉曜子,,Wakasugi Yôko
,井上明子,,Inoue Akiko
,,,
,横山文彦,,Yokoyama Fumihiko
,春日清,,Kasuga Kiyoshi
,愛原光一,,Aihara Kôichi
,木村玄,,Kimura Gen
,千石泰三,,Sengoku Taizô
,志賀明,,Shiga Akira
,若原進,,Wakahara Susumu
,福井隆次,,Fukui Ryûji
,大杉潤,,Ôsugi Jun
,,,
,大林一夫,,Ôbayashi Kazuo
,薮内武司,,Yabuuchi Takeshi
,竹谷俊彦,,Takeya Toshihiko
,森田健二,,Morita Kenji
,長岡三郎,,Nagaoka Saburô
,馬場勝義,,Baba Katsuyoshi
,森内一夫,,Moriuchi Kazuo
,有村淳,,Arimura Jun
,寺村孝,,Teramura Takashi
,,,
監督,森一生,Director,Mori Kazuo
