製作,田中友幸,Producer,Tanaka Tomoyuki
,,,
脚本,高山由紀子,Screenplay,Takayama Yukiko
,,,
撮影,富岡素敬,Photography,Tomioka Mototaka
美術,本多好文,Art,Honda Yoshifumi
録音,矢野口文雄,Recording,Yanoguchi Fumio
照明,高島利雄,Lighting,Takashima Toshio
音楽,伊福部昭,Music,Ifukube Akira
整音,東宝録音センター,Dubbing,Toho Recording Center
効果,東宝効果集団,Effects,Toho Effects Group
,,,
監督助手,山下賢章,Assistant Director,Yamashita Kenshô
編集,黒岩義民,Editing,Kuroiwa Yoshitami
スチール,田中一清,Still Photography,Tanaka Kazukiyo
協力製作,所健二,Cooperation Supervisor,Tokoro Kenji
製作担当者,篠田啓助,Production Manager,Shinoda Keisuke
現像,東京現像所,Developing,Tokyo Laboratory
,,,
特殊技術,,Special Technology,
美術,青木利郎,Art,Aoki Toshirô
,小村完,,Komura Kan
合成,三瓶一信,Composition,Sanbe Kazunobu
監督助手,田淵吉男,Assistant Director,Tabuchi Yoshio
光学撮影,真野田嘉一,Optical Photography,Manoda Yoshikazu
光学作画,石井義雄,Optical Drawing,Ishii Yoshio
操演,松本光司,Physical Effects,Matsumoto Kôji
特殊効果,渡辺忠昭,Special Effects,Watanabe Tadaaki
,,,
出演者,,Performers,
,,,
,佐々木勝彦,,Sasaki Katsuhiko
,藍とも子（新人）,,Ai Tomoko (New Face)
,,,
,平田昭彦,,Hirata Akihiko
,中丸忠雄,,Nakamaru Tadao
,睦五郎,,Mutsumi Gorô
,,,
,大門正明,,Daimon Masaaki
,内田勝正,,Uchida Katsumasa
,麻里とも恵,,Mari Tomoe
,,,
,伊吹徹,,Ibuki Tôru
,六本木真,,Roppongi Shin
,富田浩太郎,,Tomita Kôtarô
,沢村いき雄,,Sawamura Ikio
,佐原健二,,Sahara Kenji
,,,
,小川安三,,Ogawa Yasuzô
,守田比呂也,,Morita Hiroya
,鈴木和夫,,Suzuki Kazuo
,山田太郎,,Yamada Tarô
,広瀬正一,,Hirose Shôichi
,,,
,鈴木治夫,,Suzuki Haruo
,門脇三郎,,Kadowaki Saburô
,加藤茂雄,,Katô Shigeo
,今井和雄,,Imai Kazuo
,吉田静司,,Yoshida Seiji
,細井利雄,,Hosoi Toshio
,,,
,桐島好夫,,Kirishima Yoshio
,菊地正孝,,Kikuchi Masataka
,石矢博,,Ishiya Hiroshi
,東静子,,Azuma Shizuko
ゴジラ,河合徹,Godzilla,Kawai Tôru
メカゴジラ,森一成,Mechagodzilla,Mori Kazunari
チタノザウルス,二家本辰巳,Titanosaurus,Nikamoto Tatsumi
,,,
特技監督,中野昭慶,Special Effects Director,Nakano Teruyoshi
,,,
監督,本多猪四郎,Director,Honda Ishirô
