,松竹株式会社,,"Shochiku Co., Ltd."
,さむらいプロダクション,,Samurai Productions
,提携作品,,Co-Production
,,,
製作,岸本吟一,Producer,Kishimoto Gin’ichi
,丹波哲郎（さむらいプロ）,,Tamba Tetsurô (Samurai Pro)
,,,
企画,さむらいプロ,Planning,Samurai Pro
,フジテレビ,,Fuji TV
,,,
脚本,阿部桂一,Screenplay,Abe Keiichi
,柴英三郎,,Shiba Eizaburô
,岸本吟一,,Kishimoto Gin’ichi
,五社英雄,,Gosha Hideo
,,,
撮影,酒井忠,Photography,Sakai Tadashi
美術,大角純一,Art,Ôsumi Jun’ichi
録音,福安賢洋,Recording,Fukuyasu Ken’yô
音楽,津島利章,Music,Tsushima Toshiaki
,,,
照明,染川広義,Lighting,Somekawa Hiroyoshi
編集,太田和夫,Editing,Ôta Kazuo
助監督,増田彬,Assistant Director,Masuda Akira
進行,内藤誠,Progression,Naitô Makoto
,,,
装置,林弘保,Apparatus,Hayashi Hiroyasu
装飾,田尻善一,Decoration,Tajiri Zen’ichi
衣裳,藤田茂,Costumes,Fujita Shigeru
技髪,村田春松,Hair Technique,Murata Harumatsu
結髪,木村よし子,Hairdressing,Kimura Yoshiko
時代考証,林悌三,Historical Research,Hayashi Teizô
殺陣,湯浅謙太郎,Swordmaster,Yuasa Kentarô
,,,
撮影助手,藤井重光,Photography Assistant,Fujii Shigemitsu
録音助手,太田弘,Recording Assistant,Ôta Hiroshi
照明助手,正堺信太郎,Lighting Assistant,Shôsakai Shintarô
編集助手,木村幸雄,Assistant Editor,Kimura Yukio
音響効果,高井唯夫,Sound Effects,Takai Tadao
,篠原利夫,,Shinohara Toshio
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演,,Appearing,
,,,
,丹波哲郎,,Tamba Tetsurô
,,,
,長門勇,,Natago Isamu
,,,
,平幹二朗 (俳優座),,Hira Mikijirô (Haiyuza)
,,,
,桑野みゆき,,Kuwano Miyuki
,香山美子,,Kayama Yoshiko
,葵京子,,Aoi Kyôko
,,,
,藤原釜足,,Fujiwara Kamatari
,石黒達也,,Ishiguro Tatsuya
,井川比佐志,,Igawa Hisashi
,伊沢一郎 ,,Izawa Ichirô
,多々良純,,Tatara Jun
,木村俊恵,,Kimura Toshie
,三原葉子,,Mihara Yôko
,,,
,上田吉二郎,,Ueda Kichijirô
,富田仲次郎,,Tomita Nakajirô
,左卜全,,Hidari Bokuzen
,永田光男,,Nagata Mitsuo
,青山宏,,Aoyama Hiroshi
,今橋恒,,Imahashi Hisashi
,梅津栄,,Umezu Sakae
,織本順吉,,Orimoto Junkichi
,青木義朗,,Aoki Yoshirô
,,,
,保科三良,,Hoshina Saburô
,大井潤,,Ôi Jun
,雲井三郎,,Kumoi Saburô
,宮沢元,,Miyazawa Gen
,森幸太郎,,Mori Kôtarô
,佐藤京一,,Satô Kyôichi
,滝恵一,,Taki Keiichi
,相原昇三郎,,Aihara Shôzaburô
,カトウハジメ,,Katô Hajime
,田村錦人,,Tamura Kinto
,,,
,南泰介,,Minami Taisuke
,滝左太郎,,Taki Sadarô
,田中謙三,,Tanaka Kenzô
,倉新八,,Kura Shinpachi
,門田高明,,Kadota Takaaki
,永井邦近,,Nagai Kunichika
,岡本忠行,,Okamoto Tadayuki
,西宮健二,,Nishimiya Kenji
,安田昌平,,Yasuda Shôhei
,松本宗四郎,,Matsumoto Sôshirô
,和歌浦糸子,,Wakaura Itoko
,,,
,笹川富士夫,,Sasagawa Fujio
,光妙寺三郎,,Kômyôji Saburô
,鎭目勲,,Jinme Isao
,成田舟一朗,,Narita Funichirô
,蓑和田良太,,Minowada Ryôta
,曽呂勝,,So Ryoshô
,中勢謙次郎,,Nakasei Kenjirô
,大北和男,,Ôkita Kazuo
,宮城稔,,Miyagi Minoru
,浅岡譲,,Asaoka Jô
,河内麗子,,Kawachi Reiko
,,,
剣睦会,荒木肇,Swordsmanship Club,Araki Hajime
,林扇太朗,,Hayashi Sentarô
,三原博,,Mihara Hiroshi
,橋爪譲二,,Hashizume Jôji
,星野久,,Hoshino Hisa
,津々井功二,,Tsutsui Kôji
,伊達力,,Date Riki
,波戸崎徹,,Hatozaki Tôru
,津山伸一,,Tsuyama Shin’ichi
,藤沢竜二,,Fujisawa Ryûji
,,,
監督,五社英雄,Director,Gosha Hideo
