製作,田中友幸,Producer,Tanaka Tomoyuki
,田中文雄,,Tanaka Fumio
,,,
脚本,小川英,Screenplay,Ogawa Ei
,長野洋,,Nagano Hiroshi
,,,
撮影,原一民,Photography,Hara Kazutami
美術,本多好文,Art,Honda Yoshifumi
録音,富田実,Recording,Tomita Minoru
照明,佐藤幸次郎,Lighting,Satô Kôjirô
音楽,真鍋理一郎,Music,Manabe Riichirô
整音,東宝ダビング,Dubbing,Toho Dubbing
,,,
監督助手,渡辺邦彦,Assistant Director,Watanabe Kunihiko
編集,岩下広一,Editing,Iwashita Hirokazu
合成,三瓶一信,Composition,Sanbe Kazunobu
擬闘,宇仁貫三,Fight Choreography,Uni Kanzô
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,鈴木政雄,Production Manager,Suzuki Masao
,,,
出演者,,Performers,
,,,
,松尾嘉代,,Matsuo Kayo
,中尾彬,,Nakao Akira
,,,
,小林夕岐子,,Kobayashi Yukiko
,南風洋子,,Minakaze Yôko
,中村敦夫,,Nakamura Atsuo
,,,
,高品格,,Takashina Kaku
,浜村純,,Hamamura Jun
,関口銀三,,Sekiguchi Ginzô
,堺左千夫,,Sakai Sachio
,二見忠男,,Futami Tadao
,宇佐美淳也,,Usami Jun’ya
,,,
監督,山本迪夫,Director,Yamamoto Michio
