製作,田中友幸,Producer,Tanaka Tomoyuki
,田中文雄,,Tanaka Fumio
,,,
原案,神宮寺八郎,Story,Hachirô Jinguji
脚本,中西隆三,Screenplay,Nakanishi Ryûzô
,永原秀一,,Nagahara Shûichi
,,,
撮影,逢沢譲,Photography,Aizawa Yuzuru
美術,薩谷和夫,Art,Satsuya Kazuo
録音,伴利也,Recording,Ban Toshiya
照明,小島真二,Lighting,Kojima Shinji
,,,
音楽,津島利章,Music,Tsushima Toshiaki
サントラ盤,東宝レコード,Soundtrack Label,Toho Records
電子音響デザイン,大野松雄,Electroacoustic Design,Ôno Matsuo
効果,東宝効果集団,Effects,Toho Effects Group
整音,東宝録音センター,Dubbing,Toho Recording Center
,,,
監督助手,今村一平,Assistant Director,Imamura Ippei
編集,池田美千子,Editing,Ikeda Michiko
スチール,石月美徳,Still Photography,Ishizuki Yoshinori
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,橋本利明,Production Manager,Hashimoto Toshiaki
,,,
特殊技術,,Special Technology,
撮影,山本武,Photography,Yamamoto Takeshi
美術,井上泰幸,Art,Inoue Yasuyuki
照明,森本正邦,Lighting,Morimoto Masakuni
スチール,田中一清,Still Photography,Tanaka Kazukiyo
合成,三瓶一信,Composition,Sanbe Kazunobu
,,,
監督助手,川北紘一,Assistant Director,Kawakita Kôichi
光学撮影,宮西武史,Optical Photography,Miyanishi Takeshi
作画,塚田猛昭,Drawing,Tsukada Takeaki
操演,松本光司,Physical Effects,Matsumoto Kôji
特殊効果,渡辺忠昭,Special Effects,Watanabe Tadaaki
製作担当者,篠田啓助,Production Manager,Shinoda Keisuke
,,,
出演者,,Performers,
,,,
,森田健作（松竹）,,Morita Kensaku (Shochiku)
,浅野ゆう子,,Asano Yûko
,,,
,宮内洋,,Miyauchi Hiroshi
,新克利,,Atarashi Katsutoshi
,大滝秀治,,Ôtaki Hideji
,,,
,平田昭彦,,Hirata Akihiko
,橋本功,,Hashimoto Isao
,中山昭二,,Nakayama Shôji
,睦五郎,,Mutsumi Gorô
,,,
,山本亘,,Yamamoto Wataru
,遠藤剛,,Endô Tsuyoshi
,マンモス・鈴木,,Mammoth Suzuki
,ウィリアム・ロス,,William Ross
,デビット・ペーレン,,David Palen
,,,
,兼松隆,,Kanematsu Takashi
,菊池太,,Kikuchi Dai
,早田文次,,Hayata Bunji
,村嶋修,,Murashima Shû
,竹村洋介,,Takemura Yôsuke
,川端真二,,Kawabata Shinji
,森田川利一,,Moritagawa Toshikazu
,,,
,吉田耕一,,Yoshida Kôichi
,大谷進,,Ôtani Susumu
,江藤純一,,Etô Jun’ichi
,吉宮慎一,,Yoshimiya Shin’ichi
,瀬戸山功,,Setoyama Isao
,直木悠,,Naoki Yû
技斗,ジャパン・アクション・クラブ,Skill,Japan Action Club
,,,
,沖雅也,,Oki Masaya
,,,
,池部良,,Ikebe Ryô
,,,
特技監督,中野昭慶,Special Effects Director,Nakano Teruyoshi
,,,
監督,福田純,Director,Fukuda Jun
