製作,田中友幸,Producer,Tanaka Tomoyuki
,角田健一郎,,Tsunoda Ken’ichirô
,,,
脚本,馬淵薫,Screenplay,Mabuchi Kaoru
,本多猪四郎,,Honda Ishirô
,,,
撮影,小泉一,Photography,Koizumi Hajime
美術,北猛夫,Art,Kita Takeo
録音,刀根紀雄,Recording,Tone Norio
照明,高島利雄,Lighting,Takashima Toshio
音楽,伊福部昭,Music,Ifukube Akira
整音,下永尚,Dubbing,Shimonaga Hisashi
,,,
監督助手,梶田興治,Assistant Director,Kajita Kôji
編集,藤井良平,Editing,Fujii Ryôhei
音響効果,西本定正,Sound Effects,Nishimoto Sadamasa
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,古賀祥一,Production Manager,Koga Shôichi
,,,
特殊技術,,Special Technology,
撮影,有川貞昌,Photography,Arikawa Sadamasa
,富岡素敬,,Tomioka Mototaka
光学撮影,徳政義行,Optical Photography,Tokumasa Yoshiyuki
美術,井上泰幸,Art,Inoue Yasuyuki
照明,岸田九一郎,Lighting,Kishida Kuichirô
合成,向山宏,Composition,Mukôyama Hiroshi
操演,中代文雄,Physical Effects,Nakadai Fumio
監督助手,中野昭慶,Assistant Director,Nakano Teruyoshi
製作担当者,坂本泰明,Production Manager,Sakamoto Yasuaki
,,,
出演者,,Performers,
,,,
,佐原健二,,Sahara Kenji
,水野久美,,Mizuno Kumi
,ラス・タンブリン,,Russ Tamblyn
,,,
,田崎潤,,Tazaki Jun
,キップ・ハミルトン,,Kipp Hamilton
,田島義文,,Tajima Yoshibumi
,中村伸郎,,Nakamura Nobuo
,,,
,伊藤久哉,,Itô Hisaya
,桐野洋雄,,Kirino Nadao
,堤康久,,Tsutsumi Yasuhisa
,ヘンリー・大川,,Henry Ôkawa
,広瀬正一,,Hirose Shôichi
,野村明司,,Nomura Akiji
,沢村いき雄,,Sawamura Ikio
,山本廉,,Yamamoto Ren
,,,
,井上紀明,,Inoue Noriaki
,西条康彦,,Saijô Yasuhiko
,小宮康弘,,Komiya Yasuhiro
,坂本晴哉,,Sakamoto Haruya
,津田光男,,Tsuda Mitsuo
,大前亘,,Ômae Wataru
,森今日子,,Mori Kyôko
,南弘子,,Minami Hiroko
,,,
,岡部正,,Okabe Tadashi
,勝部義夫,,Katsube Yoshio
,伊藤実,,Itô Minoru
,土屋詩朗,,Tsuchiya Shirô
,熊谷卓三,,Kumagai Takuzô
,伊原徳,,Ihara Toku
,鹿島邦義,,Kashima Kuniyoshi
,橘正晃,,Tachibana Masaaki
,渋谷英男,,Shibuya Hideo
,岡豊,,Oka Yutaka
,,,
,中島春雄,,Nakajima Haruo
,関田裕,,Sekita Hiroshi
（ラス・タンブリンの声）,睦五郎,(Voice of Russ Tamblyn),Mutsumi Gorô
（サンダの子供の声）,木下華声,(Voice of Baby Sanda),Kinoshita Kasei
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji
,,,
監督,本多猪四郎,Director,Honda Ishirô
