製作,永田雅一,Producer,Nagata Masaichi
,,,
企画,中代富士男,Planning,Nakadai Fujio
原案,中島源太郎,Story,Nakajima Gentarô
脚本,小国英雄,Screenplay,Oguni Hideo
,,,
撮影,渡辺公夫,Photography,Watanabe Kimio
録音,西井憲一,Recording,Nishii Ken’ichi
照明,久保田行一,Lighting,Kubota Kôichi
美術,間野重雄,Art,Kan’no Shigeo
,,,
色彩指導,岡本太郎,Color Advisor,Okamoto Tarô
色彩技術,渡辺徹,Color Technology,Watanabe Tôru
特殊技術,的場徹,Special Technology,Matoba Tôru
メークアップ,牧野正雄,Makeup,Makino Masao
,,,
装置,石崎喜一,Apparatus,Ishizaki Kiichi
装飾,大野幸雄,Decoration,Ôno Yukio
小道具,永川勇吉,Props,Nakagawa Yûkichi
背景,中村桂太郎,Scenery,Nakamura Keitarô
園芸,吉田年,Gardening,Yoshida Toshi
工作,田村誠,Construction,Tamura Makoto
電飾,金谷省吾,Electric Decoration,Kanaya Shôgo
,,,
結髮,篠崎卯女賀,Hairdressing,Shinozaki Umega
衣裳,東郷𠻸男,Costumes,Tôgô Tsugio
音響効果,花岡勝次郎,Sound Effects,Hanaoka Katsujirô
移動,諸星勇,Choreography,Moroboshi Isamu
スチール,宫崎忠男,Still Photography,Miyazaki Tadao
俳優事務,中山照子,Actor Affairs,Nakayama Teruko
記録,原益子,Script Supervisor,Hara Mashiko
,,,
助監督,菅野恒三,Assistant Director,Kan’no Kôzô
撮影助手,村井博,Photography Assistant,Murai Hiroshi
録音助手,奥村幸雄,Recording Assistant,Okumura Yukio
照明助手,藤野慎一,Lighting Assistant,Fujino Shin’ichi
美術助手,山口𤋮,Art Assistant,Yamaguchi Hiro
進行係,川勝昭信,Progression,Kawakatsu Akinobu
,,,
音楽,大森盛太郎,Music,Ômori Seitarô
演出補,中村倍也,Production Assistant,Nakamura Masuya
編集,鈴木東陽,Editing,Suzuki Tôyô
製作主任,阪根慶一,Production Manager,Sakane Keiichi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,川崎敬三,,Kawasaki Keizô
,苅田とよみ,,Karita Toyomi
,八木沢敏,,Yagisawa Toshi
,山形勲,,Yamagata Isao
,南部彰三,,Nanbu Shôzô
,見明凡太朗,,Miake Bontarô
,,,
,永井ミエ子,,Nagai Mieko
,平井岐代子,,Hirai Kiyoko
,岡村文子,,Okamura Fumiko
,小原利之,,Obara Toshiyuki
,斎藤紫香,,Saitô Shikô
,フランク・熊谷,,Frank Kumagai
,,,
,河原侃二,,Kawara Kanji
,夏木章,,Natsuki Shô
,津田駿二,,Tsuda Junji
,原田該,,Harada Gai
,渡辺鉄彌,,Watanabe Tetsuya
,杉田康,,Sugita Kô
,,,
,早川雄二,,Hayakawa Yûji
,谷謙二,,Tani Kenji
,狩野新,,Kano Ushin
,志保京助,,Shiho Kyôsuke
,島照彦,,Shima Teruhiko
,泉靜治,,Izumi Seiji
,,,
,細川啓一,,Hosokawa Keiichi
,飛田喜佐夫,,Tobita Kisao
,髙田宗彦,,Takada Munehiko
,目黑幸子,,Meguro Sachiko
,花村泰子,,Hanamura Yasuko
,樋口峰子,,Higuchi Mineko
,奥田宗広と楽団ブルー・スカイ,,Okuda Munehiro and Blue Sky Orchestra
,,,
監督,島耕二,Director,Shima Kôji
