製作,田中友幸,Producer,Tanaka Tomoyuki
,菊島隆三,,Kikushima Ryûzô
,,,
脚本,菊島隆三,Screenplay,Kikushima Ryûzô
,黒澤明,,Kurosawa Akira
,,,
撮影,宮川一夫 (大映),Photography,Miyagawa Kazuo (Daiei)
美術,村木与四郎,Art,Muraki Yoshirô
録音,三上長七郎,Recording,Mikami Chôshichirô
,下永尚,,Shimonaga Hisashi
照明,石井長四郎,Lighting,Ishii Chôshirô
音楽,佐藤勝,Music,Satô Masaru
,,,
監督助手,森谷司郎,Assistant Director,Moritani Shirô
剣技指導,杉野嘉男,Swordsmanship Instruction,Sugino Yoshio
現像,キヌタ・ラボラトリー,Developing,Kinuta Laboratory
製作担当者,根津博,Production Manager,Nezu Hiroshi
,,,
出演者,,Performers,
,,,
,三船敏郎,,Mifune Toshirô
,,,
,仲代達矢,,Nakadai Tatsuya
,司葉子,,Tsukasa Yôko
,山田五十鈴,,Yamada Isuzu
,,,
,加東大介,,Katô Daisuke
,河津清三郎,,Kawazu Seizaburô
,志村喬,,Shimura Takashi
,太刀川寛,,Tachikawa Hiroshi
,夏木陽介,,Natsuki Yôsuke
,,,
,東野英治郎,,Tôno Eijirô
,藤原釜足,,Fujiwara Kamatari
,沢村いき雄,,Sawamura Ikio
,渡辺篤,,Watanabe Atsushi
,藤田進,,Fujita Susumu
,山茶花究,,Sazanka Kyû
,,,
,西村晃,,Nishimura Kô
,加藤武,,Katô Takeshi
,中谷一郎,,Nakatani Ichirô
,堺左千夫,,Sakai Sachio
,谷晃,,Tani Akira
,羅生門綱五郎,,Rashômon Tsunagôrô
,土屋嘉男,,Tsuchiya Yoshio
,清水元,,Shimizu Gen
,ジェリー藤尾,,Jerry Fujio
,,,
,佐田豊,,Sada Yutaka
,大友伸,,Ôtomo Shin
,広瀬正一,,Hirose Shôichi
,天本英世,,Amamoto Hideyo
,大木正司,,Ôki Shôji
,大橋史典,,Ôhashi Fuminori
,寄山弘,,Kiyama Hiroshi
,大村千吉,,Ômura Senkichi
,本間文子,,Honma Noriko
,,,
,西条竜介,,Saijô Ryûsuke
,草川直也,,Kusakawa Naoya
,桐野洋雄,,Kirino Nadao
,津田光男,,Tsuda Mitsuo
,高木新平,,Takagi Shinpei
,大友純,,Ôtomo Jun
,草間璋夫,,Kusama Akio
,小川安三,,Ogawa Yasuzô
,高木弘,,Takagi Hiroshi
,向井淳一郎,,Mukai Jun’ichirô
,熊谷二良,,Kumagai Jirô
,,,
,千葉一郎,,Chiba Ichirô
,坂本晴哉,,Sakamoto Haruya
,緒方燐作,,Ogata Rinsaku
,小串文夫,,Kogushi Fumio
,照井洋子,,Terui Yôko
,峯丘ひろみ,,Mineoka Hiromi
,河美智子,,Kawa Michiko
剣技,久世竜,Swordmaster,Kuze Ryû
振付,金須宏,Choreography,Kinsu Hiroshi
,,,
監督,黒澤明,Director,Kurosawa Akira
