製作,勝新太郎,Producer,Katsu Shintarô
,西岡弘善,,Nishioka Hiroyoshi
,,,
企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,直居欽哉,Screenplay,Naoi Kin’ya
,,,
撮影,森田富士郎,Photography,Morita Fujio
録音,大谷巌,Recording,Ôtani Iwao
照明,中岡源権,Lighting,Nakaoka Gengon
美術,太田誠一,Art,Ôta Seiichi
音楽,村井邦彦,Music,Murai Kunihiko
,,,
編集,谷口登司夫,Editing,Taniguchi Toshio
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
擬斗,楠本栄一,Action,Kusumoto Eiichi
助監督,南野梅雄,Assistant Director,Minamino Umeo
記録,山本礼子,Script Supervisor,Yamamoto Reiko
製作主任,足立源一郎,Production Manager,Adachi Gen’ichirô
現像,東洋現像所,Developing,Toyo Laboratory
,,,
囗演,王川勝太郎,Accompaniment,Ôkawa Katsutarô
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,森繁久彌,,Morishige Hisaya
,,,
,高橋悦史,,Takahashi Etsushi
,大谷直子,,Ôtani Naoko
,,,
,笑福亭仁鶴,,Shôfukutei Nikaku
,田辺一鶴,,Tanabe Ikkaku
,正司敏江・玲児,,Shôji Toshie & Reiji
,,,
,酒井修,,Sakai Osamu
,石橋蓮司,,Ishibashi Renji
,蟹江敬三,,Kanie Keizô
,しめぎしがこ,,Shimegi Shigako
,新條久多美,,Shinjô Kutami
,,,
,岡本健（子役）,,Okamoto Ken (Child Actor)
,明石勤,,Akashi Tsutomu
,大川修,,Ôkawa Osamu
,秋山勝俊,,Akiyama Katsutoshi
,南條新太郎,,Nanjô Shintarô
,深江章喜,,Fukae Shôki
,,,
,里見潤,,Satomi Jun
,大野恵三子,,Ôno Emiko
,近江輝子,,Ômi Teruko
,芝田總二,,Shibata Sôji
,大杉潤,,Ôsugi Jun
,森内一夫,,Moriuchi Kazuo
,勝村淳,,Katsumura Jun
,,,
,三国連太郎,,Mikuni Rentarô
,,,
監督,森一生,Director,Mori Kazuo
