製作,勝新太郎,Producer,Katsu Shintarô
製作補佐,西岡弘善,Production Assistant,Nishioka Hiroyoshi
,,,
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,山田隆之,Screenplay,Yamada Takayuki
,勝新太郎,,Katsu Shintarô
,（篇中一部分宇野信夫作「雲の別路」より）,,(From excerpts of Uno Nobuo’s “Between the Clouds”)
,,,
撮影,宮川一夫,Photography,Miyagawa Kazuo
録音,大角正夫,Recording,Ôsumi Masao
照明,中岡源権,Lighting,Nakaoka Gengon
美術,西岡善信,Art,Nishioka Yoshinobu
音楽,富田勲,Music,Tomita Isao
,,,
編集,谷口登司夫,Editing,Taniguchi Toshio
衣裳考証,上野芳生,Costume Research,Ueno Yoshio
音響効果,倉島暢,Sound Effects,Kurashima Nobu
擬斗,楠本栄一,Action,Kusumoto Eiichi
助監督,国原俊明,Assistant Director,Kunihara Toshiaki
製作主任,眞田正典,Production Manager,Sanada Masanori
語り手,近藤洋介,Recitation,Kondô Yôsuke
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,大原麗子（東映）,,Ôhara Reiko (Toei)
,ピーター,,Peter
,吉行和子,,Yoshiyuki Kazuko
,,,
,西村晃,,Nishimura Kô
,金田龍之介,,Kaneda Ryûnosuke
,田中邦衛,,Tanaka Kunie
,,,
,なべおさみ,,Nabe Osami
,長沢純,,Nagasawa Jun
,正司敏江・玲児,,Shôji Toshie & Reiji
,,,
,近藤洋介,,Kondô Yôsuke
,田武謙三,,Tabu Kenzô
,吉田義夫,,Yoshida Yoshio
,北村英三,,Kitamura Eizô
,大川修,,Ôkawa Osamu
,清水彰,,Shimizu Akira
,,,
,新條多久美,,Shinjô Takumi
,川崎あかね,,Kawasaki Akane
,近江輝子,,Ômi Teruko
,水上保広,,Mizukami Yasuhiro
,浅若芳太郎,,Asawaka Yoshitarô
,五味龍太郎,,Gomi Ryûtarô
,,,
,浜田雄史,,Hamada Yûji
,玉置一恵,,Tamaki Kazue
,堀北幸夫,,Horikita Yukio
,北野拓也,,Kitano Takuya
,黒木現,,Kuroki Gen
,伊吹新吾,,Ibuki Shingo
,小林加奈枝,,Kobayashi Kanae
,,,
,勝村淳,,Katsumura Jun
,新関順司郎,,Nîzeki Junjirô
,布目真爾,,Nunome Shinji
,里見潤,,Satomi Jun
,新田章,,Nitta Akira
,谷口和子,,Taniguchi Kazuko
,高寺正,,Takadera Masa
,三木豊,,Miki Yutaka
,,,
,森雅之（東宝）,,Mori Masayuki (Toho)
,,,
,仲代達矢,,Nakadai Tatsuya
,,,
監督,三隅研次,Director,Misumi Kenji
