製作,勝新太郎,Producer,Katsu Shintarô
,西岡弘善,,Nishioka Hiroyoshi
,,,
企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,犬塚稔,Screenplay,Inuzuka Minoru
,,,
撮影,森田富士郎,Photography,Morita Fujio
録音,大角正夫,Recording,Ôsumi Masao
照明,中岡源権,Lighting,Nakaoka Gengon
美術,太田誠一,Art,Ôta Seiichi
音楽,村井邦彦,Music,Murai Kunihiko
,宮本光雄,,Miyamoto Mitsuo
,,,
編集,谷口登司夫,Editing,Taniguchi Toshio
擬斗,勝村淳,Action,Katsumura Jun
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
助監督,奥家猛,Assistant Director,Okuie Takeshi
製作主任,足立源一郎,Production Manager,Adachi Gen’ichirô
記録,山本礼子,Script Supervisor,Yamamoto Reiko
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,太地喜和子,,Taichi Kiwako
,吉沢京子,,Yoshizawa Kyôko
,,,
,高城丈二,,Takagi Jôji
,小池朝雄,,Koike Asao
,,,
,春川ますみ,,Harukawa Masumi
,伏見直江,,Fushimi Naoe
,青山良彦,,Aoyama Yoshihiko
,大滝秀治,,Ôtaki Hideji
,,,
,藤岡重慶,,Fujioka Jûkei
,小海秦寛（子役）,,Koumi Shinkan (Child Actor)
,松山照夫,,Matsuyama Teruo
,田島和子,,Tajima Kazuko
,古川ロック,,Furukawa Rokku
,,,
,浜田雄史,,Hamada Yûji
,森章二,,Mori Shôji
,勝村淳,,Katsumura Jun
,北野柘也,,Kitano Tsugeya
,沖時男,,Oki Tokio
,真山達,,Mayama Tatsu
,,,
,薮内武司,,Yabuuchi Takeshi
,新関順司郎,,Nîzeki Junjirô
,福井隆次,,Fukui Ryûji
,藤春保,,Fuji Haruyasu
,伴勇太郎,,Ban Yûtarô
,長岡三郎,,Nagaoka Saburô
,,,
,花岡秀樹,,Hanaoka Hideki
,森内一夫,,Moriuchi Kazuo
,松岡信江,,Matsuoka Nobue
,石井貴美子,,Ishii Kimiko
,三星東美,,Mitsuboshi Tomi
,山村嵯都子,,Yamamura Satoko
,佐々木清乃,,Sasaki Kiyono
,,,
,中村賀津雄,,Nakamura Katsuo
,,,
監督,勝新太郎,Director,Katsu Shintarô
