製作,勝新太郎,Producer,Katsu Shintarô
製作補佐,西岡弘善,Production Assistant,Nishioka Hiroyoshi
,,,
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,安田公義,Screenplay,Yasuda Kimiyoshi
,山田隆之,,Yamada Takayuki
,,,
撮影,牧浦地志,Photography,Makiura Chikashi
録音,大谷巖,Recording,Ôtani Iwao
照明,美間博,Lighting,Mima Hiroshi
美術,西岡善信,Art,Nishioka Yoshinobu
音楽,富田勲,Music,Tomita Isao
,,,
編集,谷口登司夫,Editing,Taniguchi Toshio
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
擬斗,楠本栄一,Action,Kusumoto Eiichi
助監督,太田昭和,Assistant Director,Ôta Akikazu
製作主任,眞田正典,Production Manager,Sanada Masanori
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,浜木綿子（東宝）,,Hamaki Yûko (Toho)
,,,
,南原宏冶,,Nanbara Kôji
,寺田路恵,,Terada Michie
,,,
,安部徹,,Abe Tôru
,佐々木孝丸,,Sasaki Takamaru
,花沢徳衛,,Hanasawa Tokue
,,,
てんぷくトリオ,三波伸介,Tenpuku Trio,Minami Shinsuke
,伊東四朗,,Itô Shirô
,戸塚睦夫,,Totsuka Mutsuo
,汪玲（ワンリン）,,Wâng Líng
,張翼（チュンイ）,,Zhâng Yí
,,,
,大川修,,Ôkawa Osamu
,早川雄三,,Hayakawa Yûzô
,森章二,,Mori Shôji
,山本一郎,,Yamamoto Ichirô
,大前均,,Ômae Hitoshi
,香川雅人（子役）,,Kagawa Masato (Child Actor)
,,,
,橋本力,,Hashimoto Riki
,原聖四郎,,Hara Seishirô
,浜田雄史,,Hamada Yûji
,九段吾郎,,Kudan Gorô
,秋山勝俊,,Akiyama Katsutoshi
,佐藤京一,,Satô Kyôichi
,岩田正,,Iwata Tadashi
,小林加奈枝,,Kobayashi Kanae
,,,
,黒木現,,Kuroki Gen
,勝村淳,,Katsumura Jun
,新関順司郎,,Nîzeki Junjirô
,伴勇太郎,,Ban Yûtarô
,暁新二郎,,Akatsuki Shinjirô
,里見潤,,Satomi Jun
,松田剛武,,Matsuda Taketake
,大杉潤,,Ôsugi Jun
,,,
,王羽（ワンユー）,,Wáng Yu
,,,
監督,安田公義,Director,Yasuda Kimiyoshi
