企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,犬塚稔,Screenplay,Inuzuka Minoru
,,,
撮影,本多省三,Photography,Honda Shôzô
録音,長岡栄,Recording,Nagaoka Sakae
照明,美間博,Lighting,Mima Hiroshi
美術,西岡善信,Art,Nishioka Yoshinobu
音楽,伊福部昭,Music,Ifukube Akira
,,,
編集,菅沼完二,Editing,Suganuma Kanji
装置,林米松,Apparatus,Hayashi Yonematsu
擬斗,宮内昌平,Action,Miyauchi Shôhei
助監督,西沢鋭治,Assistant Director,Nishizawa Eiji
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
製作主任,村上忠男,Production Manager,Murakami Tadao
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,藤村志保,,Fujimura Shiho
,島田竜三,,Shimada Ryûzô
,丹羽又三郎,,Niwa Matasaburô
,中村豊,,Nakamura Yutaka
,藤原礼子,,Fujiwara Reiko
,,,
,沢村宗之助,,Sawamura Sônosuke
,水原浩一,,Mizuhara Kôichi
,杉山昌三九,,Sugiyama Shôsaku
,寺島貢,,Terashima Mitsugu
,東良之助,,Azuma Ryônosuke
,寺島雄作,,Terashima Yûsaku
,吉田義夫,,Yoshida Yoshio
,,,
,沖時男,,Oki Tokio
,堀北幸夫,,Horikita Yukio
,木村玄,,Kimura Gen
,越川一,,Koshikawa Ichi
,細谷新吾,,Hosoya Shingo
,千石泰三,,Sengoku Taizô
,大林一夫,,Ôbayashi Kazuo
,黒木英男,,Kuroki Hideo
,,,
,岩田正,,Iwata Tadashi
,志賀明,,Shiga Akira
,愛原光一,,Aihara Kôichi
,小中島亮,,Konakajima Ryô
,大杉潤,,Ôsugi Jun
,西岡弘善,,Nishioka Hiroyoshi
,藤春保,,Fuji Haruyasu
,竹谷俊彦,,Takeya Toshihiko
,三木正八郎,,Miki Shôhachirô
,,,
,伊藤祐則,,Itô Masanori
,前川広三,,Maekawa Kôzô
,上原寛二,,Uehara Kanji
,森宏之,,Mori Hiroyuki
,南正夫,,Minami Masao
,徳田竹司,,Tokuda Takeshi
,森内一夫,,Moriuchi Kazuo
,有村淳,,Arimura Jun
,小柳圭子,,Koyanagi Keiko
,,,
監督,安田公義,Director,Yasuda Kimiyoshi
