企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
潤色,犬塚稔,Adaptation,Inuzuka Minoru
脚本,星川清司,Screenplay,Hoshikawa Seiji
,,,
撮影,牧浦地志,Photography,Makiura Chikashi
録音,長岡栄,Recording,Nagaoka Sakae
照明,中岡源権,Lighting,Nakaoka Gengon
美術,太田誠一,Art,Ôta Seiichi
音楽,伊福部昭,Music,Ifukube Akira
,,,
編集,山田弘,Editing,Yamada Hiroshi
装置,林米松,Apparatus,Hayashi Yonematsu
擬斗,宮内昌平,Action,Miyauchi Shôhei
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
助監督,土井茂,Assistant Director,Doi Shigeru
製作主任,田辺満,Production Manager,Tanabe Mitsuru
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,高田美和,,Takada Miwa
,万里昌代,,Banri Masayo
,,,
,成田純一郎,,Narita Jun’ichirô
,小林勝彦,,Kobayashi Katsuhiko
,北城寿太郎,,Hôjô Jutarô
,名和宏,,Nawa Hiroshi
,安部徹,,Abe Tôru
,,,
,松居茂美,,Matsui Shigemi
,水原浩一,,Mizuhara Kôichi
,嵐三右ヱ門,,Arashi Tamiemon
,村瀬幸子,,Murase Sachiko
,若杉曜子,,Wakasugi Yôko
,近江輝子,,Ômi Teruko
,,,
,羅門光三郎,,Ramon Mitsusaburô
,玉置一恵,,Tamaki Kazue
,石原須磨男,,Ishihara Sumao
,浜田雄史,,Hamada Yûji
,沖時男,,Oki Tokio
,堀北幸夫,,Horikita Yukio
,藤川準,,Fujikawa Jun
,,,
,岩田正,,Iwata Tadashi
,大杉潤,,Ôsugi Jun
,越川一,,Koshikawa Ichi
,志賀明,,Shiga Akira
,加賀美健一,,Kagami Ken’ichi
,西岡弘善,,Nishioka Hiroyoshi
,山岡鋭二郎,,Yamaoka Eijirô
,黒木英男,,Kuroki Hideo
,種井信子,,Tanei Nobuko
,谷口和子,,Taniguchi Kazuko
,,,
監督,田中徳三,Director,Tanaka Tokuzô
