企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,笠原良三,Screenplay,Kasahara Ryôzô
,,,
撮影,武田千吉郎,Photography,Takeda Senkichirô
録音,大角正夫,Recording,Ôsumi Masao
照明,古谷賢次,Lighting,Furuya Kenji
美術,西岡善信,Art,Nishioka Yoshinobu
,,,
音楽,斎藤一郎,Music,Saitô Ichirô
編集,谷口登司夫,Editing,Taniguchi Toshio
擬斗,宮内昌平,Action,Miyauchi Shôhei
助監督,宮嶋八蔵,Assistant Director,Miyajima Hachikura
製作主任,西沢鋭治,Production Manager,Nishizawa Eiji
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,藤村志保,,Fujimura Shiho
,青山良彦,,Aoyama Yoshihiko
,水前寺清子（クラウン）,,Suizenji Kiyoko (Crown)
,藤田まこと,,Fujita Makoto
,,,
,東野英治郎,,Tôno Eijirô
,山下洵一郎,,Yamashita Jun’ichirô
,五味龍太郎,,Gomi Ryûtarô
,須賀不二男,,Suga Fujio
,明星雅子,,Akeboshi Masako
,春川ますみ,,Harukawa Masumi
,,,
,遠藤辰雄,,Endô Tatsuo
,水原浩一,,Mizuhara Kôichi
,伊達三郎,,Date Saburô
,高杉玄,,Takasugi Gen
,尾上栄五郎,,Onoe Eigorô
,寺島雄作,,Terashima Yûsaku
,木村玄,,Kimura Gen
,北竜二,,Kita Ryûji
,,,
,堀北幸夫,,Horikita Yukio
,玉置一恵,,Tamaki Kazue
,春日清,,Kasuga Kiyoshi
,岩田正,,Iwata Tadashi
,勝村淳,,Katsumura Jun
,薮内武司,,Yabuuchi Takeshi
,森下昌子,,Morishita Masako
,谷口和子,,Taniguchi Kazuko
,橘公子,,Tachibana Kimiko
,,,
,大杉潤,,Ôsugi Jun
,布目真爾,,Nunome Shinji
,松田剛武,,Matsuda Taketake
,暁新二郎,,Akatsuki Shinjirô
,加賀美健一,,Kagami Ken’ichi
,三藤愛子,,Mitô Aiko
,大谷鷹子,,Ôtani Takako
,久本延子,,Hisamoto Nobuko
,大杉育美,,Ôsugi Ikumi
,,,
監督,安田公義,Director,Yasuda Kimiyoshi
