製作,勝新太郎,Producer,Katsu Shintarô
,西岡弘善,,Nishioka Hiroyoshi
,,,
企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,服部佳子,Screenplay,Hattori Keiko
,,,
撮影,牧浦地志,Photography,Makiura Chikashi
録音,大角正夫,Recording,Ôsumi Masao
照明,斉藤省三,Lighting,Saitô Shôzô
美術,太田誠一,Art,Ôta Seiichi
音楽,伊福部昭,Music,Ifukube Akira
,,,
編集,林義治,Editing,Hayashi Yoshiharu
擬斗,楠本栄一,Action,Kusumoto Eiichi
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
助監督,小林正雄,Assistant Director,Kobayashi Masao
製作主任,足立源一郎,Production Manager,Adachi Gen’ichirô
,,,
装置,馬場正男,Apparatus,Baba Masao
装飾,清水与三吉,Decoration,Shimizu Yosankichi
衣裳,伊藤ナツ,Costumes,Itô Natsu
美粧,湯本秀夫,Makeup,Yumoto Hideo
結髪,石井エミ,Hairdressing,Ishii Emi
,,,
色彩技術,小池清茂,Color Technology,Koike Kiyoshige
記録,山本礼子,Script Supervisor,Yamamoto Reiko
演技事務,服部正一,Actor Affairs,Hattori Shôichi
スチール,大谷栄一,Still Photography,Ôtani Eiichi
宣伝,中村努,Publicity,Nakamura Tsutomu
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,十朱幸代,,Toake Yukiyo
,,,
,志村喬,,Shimura Takashi
,佐藤慶,,Satô Kei
,,,
,土屋嘉男,,Tsuchiya Yoshio
,遠藤辰雄,,Endô Tatsuo
,岸部シロー,,Kishibe Shirô
,,,
,横山リエ,,Yokoyama Rie
,高森玄,,Takamori Gen
,朝比奈尚行,,Asahina Naoyuki
,酒井修,,Sakai Osamu
,,,
,田武謙三,,Tabu Kenzô
,寺島雄作,,Terashima Yûsaku
,石井くに子,,Ishii Kuniko
,浜田雄史,,Hamada Yûji
,浮田左武郎,,Ukita Saburô
,,,
,九段吾郎,,Kudan Gorô
,沖時男,,Oki Tokio
,薮内武司,,Yabuuchi Takeshi
,武田てい子,,Takeda Teiko
,太田優子,,Ôta Yûko
,菊野昌代士,,Kikuno Masayoshi
,,,
,宮下有三,,Miyashita Yûzô
,島田正六,,Shimada Shôroku
,神田絋司,,Kanda Takeshi
,渡辺満男,,Watanabe Mitsuo
,藤春保,,Fuji Haruyasu
,福井隆次,,Fukui Ryûji
,山村嵯都子,,Yamamura Satoko
,松岡信江,,Matsuoka Nobue
,,,
,岡田英次,,Okada Eiji
,,,
監督,安田公義,Director,Yasuda Kimiyoshi
